bm,order,copies,slot,shared_input,tokens,launches,groups,mean_us,per_copy_us,output_diff,checked_bytes,start_ms,end_ms
1,major,8,0,1,640,1378,20480,276.056603774,34.507075472,0,20971520,211349953,211350343
1,major,8,1,0,640,1381,20480,279.298334540,34.912291818,0,20971520,211350531,211350921
1,major,8,2,0,640,1415,20480,279.695406360,34.961925795,0,20971520,211351109,211351515
1,major,8,3,1,640,1370,20480,280.559124088,35.069890511,0,20971520,211351671,211352062
1,major,8,4,1,640,1366,20480,280.398243045,35.049780381,0,20971520,211352218,211352609
1,major,8,5,0,640,1372,20480,280.551020408,35.068877551,0,20971520,211352765,211353156
1,major,8,6,0,640,1361,20480,280.675973549,35.084496694,0,20971520,211353312,211353687
1,major,8,7,1,640,1414,20480,279.947666195,34.993458274,0,20971520,211353890,211354281
1,interleave,8,0,1,640,1571,20480,251.768300446,31.471037556,0,20971520,211354468,211354859
1,interleave,8,1,0,640,1385,20480,278.379061372,34.797382671,0,20971520,211355031,211355421
1,interleave,8,2,0,640,1370,20480,277.732846715,34.716605839,0,20971520,211355578,211355968
1,interleave,8,3,1,640,1508,20480,253.185676393,31.648209549,0,20971520,211356125,211356500
1,interleave,8,4,1,640,1530,20480,253.207189542,31.650898693,0,20971520,211356671,211357046
1,interleave,8,5,0,640,1392,20480,278.667385057,34.833423132,0,20971520,211357218,211357609
1,interleave,8,6,0,640,1380,20480,278.442753623,34.805344203,0,20971520,211357765,211358156
1,interleave,8,7,1,640,1543,20480,253.457550227,31.682193778,0,20971520,211358312,211358703
2,major,8,0,1,640,1420,10240,271.509859155,33.938732394,0,20971520,211358875,211359250
2,major,8,1,0,640,1401,10240,271.951463241,33.993932905,0,20971520,211359421,211359796
2,major,8,2,0,640,1424,10240,271.520365169,33.940045646,0,20971520,211359968,211360359
2,major,8,3,1,640,1391,10240,272.104241553,34.013030194,0,20971520,211360515,211360890
2,major,8,4,1,640,1411,10240,270.878809355,33.859851169,0,20971520,211361078,211361468
2,major,8,5,0,640,1369,10240,272.352081812,34.044010226,0,20971520,211361625,211362000
2,major,8,6,0,640,1414,10240,272.252475248,34.031559406,0,20971520,211362156,211362546
2,major,8,7,1,640,1403,10240,271.991446900,33.998930862,0,20971520,211362703,211363093
2,interleave,8,0,1,640,1611,10240,245.216635630,30.652079454,0,20971520,211363250,211363656
2,interleave,8,1,0,640,1291,10240,293.518202943,36.689775368,0,20971520,211363812,211364187
2,interleave,8,2,0,640,791,10240,289.777496839,36.222187105,0,20971520,211364343,211364562
2,interleave,8,3,1,640,1560,10240,244.144871795,30.518108974,0,20971520,211364734,211365109
2,interleave,8,4,1,640,1647,10240,243.359441409,30.419930176,0,20971520,211365281,211365671
2,interleave,8,5,0,640,1255,10240,292.808764940,36.601095618,0,20971520,211365843,211366203
2,interleave,8,6,0,640,1281,10240,294.025761124,36.753220141,0,20971520,211366375,211366750
2,interleave,8,7,1,640,1536,10240,244.853515625,30.606689453,0,20971520,211366906,211367281
