frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1307.877000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,21.699000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,27.092000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,18.414000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,19.830000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,18.566000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,18.410000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,20.409000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,18.412000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,18.369000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,18.738000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,18.501000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
