frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1254.845000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,13.414000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
2,1,13.932000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
3,1,12.722000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
4,1,12.720000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
5,1,15.601000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
6,1,12.488000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
7,1,12.615000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
8,1,12.621000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
9,1,12.897000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
10,1,15.766000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
11,1,13.137000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
