frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1263.885000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,13.424000,,,,,,,,,,0
2,1,12.704000,,,,,,,,,,0
3,1,11.932000,,,,,,,,,,0
4,1,11.325000,,,,,,,,,,0
5,1,11.628000,,,,,,,,,,0
6,1,11.284000,,,,,,,,,,0
7,1,11.406000,,,,,,,,,,0
8,1,11.355000,,,,,,,,,,0
9,1,11.068000,,,,,,,,,,0
10,1,11.228000,,,,,,,,,,0
11,1,11.705000,,,,,,,,,,0
12,1,11.890000,,,,,,,,,,0
13,1,11.234000,,,,,,,,,,0
14,1,11.275000,,,,,,,,,,0
15,1,11.405000,,,,,,,,,,0
16,1,10.830000,,,,,,,,,,0
17,1,11.183000,,,,,,,,,,0
18,1,10.747000,,,,,,,,,,0
19,1,10.810000,,,,,,,,,,0
20,1,10.730000,,,,,,,,,,0
21,1,10.851000,,,,,,,,,,0
22,1,10.871000,,,,,,,,,,0
23,1,10.848000,,,,,,,,,,0
24,1,11.349000,,,,,,,,,,0
25,1,11.018000,,,,,,,,,,0
26,1,10.903000,,,,,,,,,,0
27,1,11.087000,,,,,,,,,,0
28,1,10.981000,,,,,,,,,,0
29,1,10.825000,,,,,,,,,,0
30,1,11.063000,,,,,,,,,,0
31,1,11.303000,,,,,,,,,,0
32,1,10.946000,,,,,,,,,,0
33,1,11.129000,,,,,,,,,,0
34,1,10.929000,,,,,,,,,,0
35,1,10.960000,,,,,,,,,,0
36,1,11.034000,,,,,,,,,,0
37,1,11.557000,,,,,,,,,,0
38,1,10.992000,,,,,,,,,,0
39,1,10.984000,,,,,,,,,,0
40,1,11.027000,,,,,,,,,,0
41,1,11.057000,,,,,,,,,,0
42,1,10.887000,,,,,,,,,,0
43,1,10.980000,,,,,,,,,,0
44,1,11.502000,,,,,,,,,,0
45,1,11.141000,,,,,,,,,,0
46,1,10.934000,,,,,,,,,,0
47,1,10.964000,,,,,,,,,,0
48,1,10.878000,,,,,,,,,,0
49,1,11.005000,,,,,,,,,,0
50,1,10.953000,,,,,,,,,,0
51,1,11.204000,,,,,,,,,,0
52,1,11.417000,,,,,,,,,,0
53,1,11.136000,,,,,,,,,,0
54,1,10.852000,,,,,,,,,,0
55,1,10.974000,,,,,,,,,,0
56,1,11.053000,,,,,,,,,,0
57,1,11.040000,,,,,,,,,,0
58,1,11.450000,,,,,,,,,,0
59,1,10.963000,,,,,,,,,,0
60,1,10.960000,,,,,,,,,,0
61,1,11.044000,,,,,,,,,,0
62,1,11.109000,,,,,,,,,,0
63,1,10.994000,,,,,,,,,,0
64,1,10.974000,,,,,,,,,,0
