frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1282.699000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,16.937000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
2,1,13.352000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
3,1,13.907000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
4,1,15.967000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
5,1,13.835000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
6,1,13.894000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
7,1,13.777000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
8,1,13.616000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
9,1,14.475000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
10,1,15.358000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
11,1,13.602000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
