frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1296.077000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,18.405000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,17.803000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,18.770000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,17.445000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,17.962000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,18.057000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,17.417000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,18.758000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,17.418000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,17.429000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,17.867000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
