test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
reg_vs_plain,0,resident4,4,0,0,400,16,26882,11.024960940,304.349667825,0,272675156,272675453
reg_vs_plain,1,plain4,4,16,16,400,16,7727,81.757473793,41.041424647,0,272675609,272676234
reg_vs_plain,2,plain4,4,16,16,400,16,4356,81.661157025,41.089831717,0,272676343,272676703
reg_vs_plain,3,resident4,4,0,0,400,16,30793,11.049784042,303.665952864,0,272676796,272677125
reg_vs_plain,4,resident4,4,0,0,400,16,28757,11.053273985,303.570073845,0,272677218,272677531
reg_vs_plain,5,plain4,4,16,16,400,16,4421,82.717258539,40.565212862,0,272677640,272678015
reg_vs_plain,6,plain4,4,16,16,400,16,4596,82.182550044,40.829144365,0,272678125,272678500
reg_vs_plain,7,resident4,4,0,0,400,16,30817,11.088035824,302.618358485,0,272678593,272678937
volatile_control,0,plain4,4,16,16,400,16,5158,82.148701047,40.845967827,0,272679062,272679484
volatile_control,1,volatile4,4,16,16,400,16,1203,328.507896924,10.214193422,0,272679640,272680046
volatile_control,2,volatile4,4,16,16,400,16,1203,328.605153782,10.211170340,0,272680203,272680609
volatile_control,3,plain4,4,16,16,400,16,4342,80.782128052,41.536949830,0,272680703,272681062
volatile_control,4,plain4,4,16,16,400,16,4596,79.042645779,42.451048632,0,272681171,272681531
volatile_control,5,volatile4,4,16,16,400,16,1202,328.463394343,10.215577315,0,272681687,272682093
volatile_control,6,volatile4,4,16,16,400,16,1193,328.476110645,10.215181839,0,272682250,272682640
volatile_control,7,plain4,4,16,16,400,16,5173,80.656678910,41.601554209,0,272682765,272683187
both_address,0,volatile4,4,0,0,400,16,380,1048.942105263,3.198883125,0,272683500,272683906
both_address,1,volatile4,4,16,16,400,16,1200,328.494166667,10.214620351,0,272684062,272684468
both_address,2,volatile4,4,16,16,400,16,1201,328.526228143,10.213623487,0,272684625,272685031
