test,slot,chunk,launches,mean_us,start_ms,end_ms
reg_vs_model,0,0,2336,15.696061644,273263375,273263406
reg_vs_model,0,1,2336,15.672517123,273263406,273263453
reg_vs_model,0,2,2336,15.627996575,273263453,273263484
reg_vs_model,0,3,2336,15.579195205,273263484,273263515
reg_vs_model,0,4,2336,15.756849315,273263531,273263562
reg_vs_model,0,5,2336,15.841609589,273263562,273263593
reg_vs_model,0,6,2336,15.851883562,273263609,273263640
reg_vs_model,0,7,2336,15.859589041,273263640,273263671
reg_vs_model,0,8,2336,15.894691781,273263687,273263718
reg_vs_model,0,9,2336,15.905821918,273263718,273263765
reg_vs_model,1,0,1131,35.543766578,273264062,273264109
reg_vs_model,1,1,1131,35.381962865,273264109,273264156
reg_vs_model,1,2,1131,35.168877100,273264156,273264187
reg_vs_model,1,3,1131,35.560565871,273264187,273264234
reg_vs_model,1,4,1131,35.153846154,273264234,273264281
reg_vs_model,1,5,1131,35.377541998,273264281,273264312
reg_vs_model,1,6,1131,35.314765694,273264328,273264359
reg_vs_model,1,7,1131,35.509283820,273264359,273264406
reg_vs_model,1,8,1131,35.502210433,273264406,273264437
reg_vs_model,1,9,1131,35.106100796,273264453,273264484
reg_vs_model,2,0,1100,35.742727273,273264796,273264828
reg_vs_model,2,1,1100,35.083636364,273264828,273264875
reg_vs_model,2,2,1100,35.011818182,273264875,273264921
reg_vs_model,2,3,1100,35.012727273,273264921,273264953
reg_vs_model,2,4,1100,35.251818182,273264953,273265000
reg_vs_model,2,5,1100,35.353636364,273265000,273265031
reg_vs_model,2,6,1100,35.156363636,273265046,273265078
reg_vs_model,2,7,1100,35.464545455,273265078,273265125
reg_vs_model,2,8,1100,34.711818182,273265125,273265156
reg_vs_model,2,9,1100,35.346363636,273265156,273265203
reg_vs_model,3,0,2341,15.750106792,273265500,273265531
reg_vs_model,3,1,2341,15.701409654,273265546,273265578
reg_vs_model,3,2,2341,15.725758223,273265578,273265609
reg_vs_model,3,3,2341,15.867150790,273265609,273265656
reg_vs_model,3,4,2341,15.928662965,273265656,273265687
reg_vs_model,3,5,2341,15.907731739,273265703,273265734
reg_vs_model,3,6,2341,15.885946177,273265734,273265765
reg_vs_model,3,7,2341,15.974369927,273265781,273265812
reg_vs_model,3,8,2341,15.961554891,273265812,273265843
reg_vs_model,3,9,2341,15.999145664,273265859,273265890
reg_vs_model,4,0,2281,15.806225340,273266187,273266218
reg_vs_model,4,1,2281,15.785620342,273266218,273266265
reg_vs_model,4,2,2281,15.755808856,273266265,273266296
reg_vs_model,4,3,2281,15.919333626,273266296,273266343
reg_vs_model,4,4,2281,15.983779044,273266343,273266375
reg_vs_model,4,5,2281,16.007452872,273266375,273266421
reg_vs_model,4,6,2281,15.962297238,273266421,273266453
reg_vs_model,4,7,2281,15.911003946,273266453,273266500
reg_vs_model,4,8,2281,16.012275318,273266500,273266531
reg_vs_model,4,9,2281,15.972380535,273266531,273266562
reg_vs_model,5,0,1142,35.637478109,273266875,273266921
reg_vs_model,5,1,1142,35.403677758,273266921,273266968
reg_vs_model,5,2,1142,35.456217163,273266968,273267000
reg_vs_model,5,3,1142,35.528021016,273267015,273267046
reg_vs_model,5,4,1142,35.400175131,273267046,273267093
reg_vs_model,5,5,1142,35.478108581,273267093,273267140
reg_vs_model,5,6,1142,35.619089317,273267140,273267171
reg_vs_model,5,7,1142,35.499124343,273267187,273267218
reg_vs_model,5,8,1142,35.647985989,273267218,273267265
reg_vs_model,5,9,1142,34.936077058,273267265,273267312
reg_vs_model,6,0,1056,34.741477273,273267609,273267640
reg_vs_model,6,1,1056,34.570075758,273267640,273267687
reg_vs_model,6,2,1056,34.318181818,273267687,273267718
reg_vs_model,6,3,1056,34.467803030,273267718,273267765
reg_vs_model,6,4,1056,34.768939394,273267765,273267796
reg_vs_model,6,5,1056,34.773674242,273267796,273267843
reg_vs_model,6,6,1056,34.494318182,273267843,273267875
reg_vs_model,6,7,1056,34.396780303,273267875,273267921
reg_vs_model,6,8,1056,34.213068182,273267921,273267953
reg_vs_model,6,9,1056,34.823863636,273267953,273268000
reg_vs_model,7,0,2314,15.807260156,273268296,273268328
reg_vs_model,7,1,2314,15.771823682,273268328,273268359
reg_vs_model,7,2,2314,15.730337079,273268375,273268406
reg_vs_model,7,3,2314,15.935609334,273268406,273268437
reg_vs_model,7,4,2314,15.945548833,273268453,273268484
reg_vs_model,7,5,2314,16.000864304,273268484,273268515
reg_vs_model,7,6,2314,15.945980985,273268531,273268562
reg_vs_model,7,7,2314,15.985738980,273268562,273268593
reg_vs_model,7,8,2314,15.996542783,273268609,273268640
reg_vs_model,7,9,2314,16.001728608,273268640,273268671
mask_control,0,0,1213,35.244023083,273269000,273269046
mask_control,0,1,1213,35.449299258,273269046,273269078
mask_control,0,2,1213,35.402308326,273269093,273269125
mask_control,0,3,1213,35.230008244,273269125,273269171
mask_control,0,4,1213,34.708161583,273269171,273269218
mask_control,0,5,1213,34.822753504,273269218,273269265
mask_control,0,6,1213,33.768342951,273269265,273269312
mask_control,0,7,1213,33.966199505,273269312,273269343
mask_control,0,8,1213,34.402308326,273269359,273269390
mask_control,0,9,1213,34.644682605,273269390,273269437
mask_control,1,0,1034,36.638297872,273269750,273269781
mask_control,1,1,1034,36.230174081,273269781,273269828
mask_control,1,2,1034,36.451644101,273269828,273269859
mask_control,1,3,1034,36.168278530,273269859,273269906
mask_control,1,4,1034,36.128626692,273269906,273269937
mask_control,1,5,1034,36.763056093,273269937,273269984
mask_control,1,6,1034,36.565764023,273269984,273270015
mask_control,1,7,1034,36.239845261,273270031,273270062
mask_control,1,8,1034,36.049323017,273270062,273270093
mask_control,1,9,1034,36.165377176,273270109,273270140
mask_control,2,0,1033,36.660212972,273270437,273270484
mask_control,2,1,1033,36.424975799,273270484,273270515
mask_control,2,2,1033,36.116166505,273270531,273270562
mask_control,2,3,1033,36.252662149,273270562,273270609
mask_control,2,4,1033,36.341723136,273270609,273270640
mask_control,2,5,1033,36.216844143,273270640,273270687
mask_control,2,6,1033,36.294288480,273270687,273270718
mask_control,2,7,1033,36.058083253,273270718,273270765
mask_control,2,8,1033,36.540174250,273270765,273270796
mask_control,2,9,1033,36.287512101,273270796,273270843
mask_control,3,0,1071,34.482726424,273271140,273271187
mask_control,3,1,1071,33.924369748,273271187,273271218
mask_control,3,2,1071,33.845938375,273271218,273271265
mask_control,3,3,1071,34.199813259,273271265,273271296
mask_control,3,4,1071,33.600373483,273271296,273271328
mask_control,3,5,1071,33.581699346,273271343,273271375
mask_control,3,6,1071,34.538748833,273271375,273271406
mask_control,3,7,1071,34.227824463,273271421,273271453
mask_control,3,8,1071,34.220354809,273271453,273271484
mask_control,3,9,1071,34.223155929,273271484,273271531
mask_control,4,0,1065,34.661032864,273271828,273271875
mask_control,4,1,1065,33.823474178,273271875,273271906
mask_control,4,2,1065,33.463849765,273271906,273271953
mask_control,4,3,1065,34.222535211,273271953,273271984
mask_control,4,4,1065,33.743661972,273271984,273272015
mask_control,4,5,1065,33.900469484,273272031,273272062
mask_control,4,6,1065,34.077934272,273272062,273272093
mask_control,4,7,1065,33.873239437,273272093,273272140
mask_control,4,8,1065,34.153051643,273272140,273272171
mask_control,4,9,1065,34.132394366,273272171,273272218
mask_control,5,0,1044,36.478927203,273272515,273272562
mask_control,5,1,1044,36.369731801,273272562,273272593
mask_control,5,2,1044,36.165708812,273272593,273272640
