test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
reg_vs_model,0,resident4,4,0,0,640,16,23360,15.768621575,340.467877572,0,273263375,273263765
reg_vs_model,1,model4,4,1023,1023,640,16,11310,35.361892131,151.821884987,0,273264062,273264484
reg_vs_model,2,model4,4,1023,1023,640,16,11000,35.213545455,152.461476137,0,273264796,273265203
reg_vs_model,3,resident4,4,0,0,640,16,23410,15.870183682,338.289034803,0,273265500,273265890
reg_vs_model,4,resident4,4,0,0,640,16,22810,15.911617712,337.408126397,0,273266187,273266562
reg_vs_model,5,model4,4,1023,1023,640,16,11420,35.460595447,151.399294129,0,273266875,273267312
reg_vs_model,6,model4,4,1023,1023,640,16,10560,34.556818182,155.358895942,0,273267609,273268000
reg_vs_model,7,resident4,4,0,0,640,16,23140,15.912143475,337.396977887,0,273268296,273268671
mask_control,0,model4,4,1023,1023,640,16,12130,34.763808739,154.433858510,0,273269000,273269437
mask_control,1,masked4,4,1023,1023,640,16,10340,36.340038685,147.735371626,0,273269734,273270140
mask_control,2,masked4,4,1023,1023,640,16,10330,36.319264279,147.819875391,0,273270437,273270843
mask_control,3,model4,4,1023,1023,640,16,10710,34.084500467,157.511744238,0,273271140,273271531
mask_control,4,model4,4,1023,1023,640,16,10650,34.005164319,157.879228861,0,273271828,273272218
mask_control,5,masked4,4,1023,1023,640,16,10440,36.152586207,148.501384915,0,273272515,273272921
mask_control,6,masked4,4,1023,1023,640,16,10340,36.217311412,148.235992974,0,273273218,273273609
mask_control,7,model4,4,1023,1023,640,16,10890,34.058494031,157.632017290,0,273273921,273274312
both_address,0,masked4,4,0,0,640,16,18640,21.039753219,255.169776192,0,273274609,273275031
both_address,1,masked4,4,1023,1023,640,16,10490,36.821925643,145.801965166,0,273275328,273275734
both_address,2,masked4,4,1023,1023,640,16,10120,35.880928854,149.625700658,0,273276031,273276421
both_address,3,masked4,4,0,0,640,16,18500,21.056810811,254.963069585,0,273276718,273277125
both_address,4,masked4,4,0,0,640,16,17790,21.058291175,254.945146091,0,273277421,273277828
both_address,5,masked4,4,1023,1023,640,16,11220,36.669340463,146.408663263,0,273278140,273278562
both_address,6,masked4,4,1023,1023,640,16,10780,36.755473098,146.065569763,0,273278875,273279296
both_address,7,masked4,4,0,0,640,16,17850,21.046778711,255.084599577,0,273279593,273279984
A_address,0,masked4,4,0,1023,640,16,9890,39.504853387,135.899988474,0,273280296,273280703
A_address,1,masked4,4,1023,1023,640,16,10090,35.392368682,151.691150379,0,273281000,273281375
A_address,2,masked4,4,1023,1023,640,16,10680,35.561048689,150.971619733,0,273281687,273282093
A_address,3,masked4,4,0,1023,640,16,9770,39.654554759,135.386947415,0,273282390,273282796
A_address,4,masked4,4,0,1023,640,16,9680,39.608987603,135.542699899,0,273283109,273283515
A_address,5,masked4,4,1023,1023,640,16,10510,35.534538535,151.084250461,0,273283812,273284203
A_address,6,masked4,4,1023,1023,640,16,10440,35.581034483,150.886819286,0,273284515,273284906
A_address,7,masked4,4,0,1023,640,16,9850,39.657055838,135.378408876,0,273285203,273285625
B_address,0,masked4,4,1023,0,640,16,17550,22.510769231,238.495142701,0,273285921,273286343
B_address,1,masked4,4,1023,1023,640,16,10270,36.677312561,146.376840209,0,273286640,273287046
B_address,2,masked4,4,1023,1023,640,16,10380,35.241618497,152.340027188,0,273287343,273287734
B_address,3,masked4,4,1023,0,640,16,15820,22.471049305,238.916707770,0,273288015,273288390
B_address,4,masked4,4,1023,0,640,16,17340,22.538350634,238.203283243,0,273288703,273289109
B_address,5,masked4,4,1023,1023,640,16,11620,36.600258176,146.685006817,0,273289421,273289875
B_address,6,masked4,4,1023,1023,640,16,10830,36.465096953,147.228708234,0,273290171,273290593
B_address,7,masked4,4,1023,0,640,16,17400,22.564080460,237.931659993,0,273290890,273291312
chains1_4,0,resident1,1,0,0,640,16,24440,15.187315876,353.499536322,0,273291609,273292000
chains1_4,1,resident4,4,0,0,640,16,22340,15.943285586,336.737938420,0,273292296,273292671
chains1_4,2,resident4,4,0,0,640,16,22390,15.942429656,336.756017484,0,273292953,273293343
chains1_4,3,resident1,1,0,0,640,16,23340,15.128963153,354.862991308,0,273293625,273294000
chains1_4,4,resident1,1,0,0,640,16,23740,15.119039596,355.095909766,0,273294296,273294671
chains1_4,5,resident4,4,0,0,640,16,20090,15.913339970,337.371609610,0,273294953,273295296
chains1_4,6,resident4,4,0,0,640,16,21500,15.896465116,337.729745621,0,273295593,273295953
chains1_4,7,resident1,1,0,0,640,16,23410,15.121059376,355.048478178,0,273296250,273296625
chains2_4,0,resident2,2,0,0,640,16,22150,15.778781038,340.248660967,0,273296906,273297281
chains2_4,1,resident4,4,0,0,640,16,22060,15.939483228,336.818267152,0,273297578,273297953
chains2_4,2,resident4,4,0,0,640,16,21420,15.905088702,337.546631807,0,273298234,273298593
chains2_4,3,resident2,2,0,0,640,16,21890,15.771219735,340.411788701,0,273298890,273299250
chains2_4,4,resident2,2,0,0,640,16,22040,15.768194192,340.477105653,0,273299546,273299906
chains2_4,5,resident4,4,0,0,640,16,22070,15.934798369,336.917292314,0,273300203,273300578
chains2_4,6,resident4,4,0,0,640,16,22250,15.919056180,337.250466320,0,273300875,273301250
chains2_4,7,resident2,2,0,0,640,16,21610,15.773484498,340.362912247,0,273301531,273301890
chains4_8,0,resident4,4,0,0,640,16,22060,15.887443336,337.921527482,0,273302187,273302562
chains4_8,1,resident8,8,0,0,640,16,21910,16.235645824,330.674195425,0,273302859,273303234
chains4_8,2,resident8,8,0,0,640,16,21610,16.240768163,330.569900768,0,273303515,273303890
chains4_8,3,resident4,4,0,0,640,16,22390,15.867976775,338.336083800,0,273304187,273304562
chains4_8,4,resident4,4,0,0,640,16,22080,15.877943841,338.123700015,0,273304859,273305234
chains4_8,5,resident8,8,0,0,640,16,21700,16.235990783,330.667169723,0,273305515,273305890
chains4_8,6,resident8,8,0,0,640,16,21960,16.221994536,330.952467543,0,273306187,273306562
chains4_8,7,resident4,4,0,0,640,16,22130,15.880433800,338.070684184,0,273306859,273307234
chains4_16,0,resident4,4,0,0,640,16,21870,15.857567444,338.558176654,0,273307515,273307890
chains4_16,1,resident16,16,0,0,640,16,13300,27.541804511,194.929461423,0,273308187,273308578
chains4_16,2,resident16,16,0,0,640,16,13670,27.395391368,195.971251073,0,273308875,273309265
chains4_16,3,resident4,4,0,0,640,16,23250,15.888258065,337.904199328,0,273309562,273309953
chains4_16,4,resident4,4,0,0,640,16,22940,15.899171752,337.672251335,0,273310250,273310640
chains4_16,5,resident16,16,0,0,640,16,13770,27.303340595,196.631950630,0,273310937,273311328
chains4_16,6,resident16,16,0,0,640,16,13980,27.209871245,197.307406262,0,273311640,273312046
chains4_16,7,resident4,4,0,0,640,16,23070,15.925617685,337.111515929,0,273312328,273312718
