test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
reg_vs_model,0,resident4,4,0,0,640,16,6116,15.902877698,337.593561493,0,272882687,272882781
reg_vs_model,1,model4,4,1023,1023,640,16,6144,59.706217448,89.918761387,0,272882890,272883250
reg_vs_model,2,model4,4,1023,1023,640,16,6237,59.217091550,90.661479303,0,272883359,272883734
reg_vs_model,3,resident4,4,0,0,640,16,20866,16.236557079,330.655636786,0,272883828,272884156
reg_vs_model,4,resident4,4,0,0,640,16,21254,16.188105768,331.645295431,0,272884250,272884593
reg_vs_model,5,model4,4,1023,1023,640,16,6288,60.718511450,88.419643232,0,272884703,272885078
reg_vs_model,6,model4,4,1023,1023,640,16,6347,59.965653064,89.529736535,0,272885187,272885578
reg_vs_model,7,resident4,4,0,0,640,16,21402,16.248014204,330.422478249,0,272885656,272886015
mask_control,0,model4,4,1023,1023,640,16,6152,60.596716515,88.597360200,0,272886125,272886484
mask_control,1,masked4,4,1023,1023,640,16,6102,67.689609964,79.313636507,0,272886609,272887031
mask_control,2,masked4,4,1023,1023,640,16,6044,67.620119126,79.395144365,0,272887140,272887546
mask_control,3,model4,4,1023,1023,640,16,6134,60.226116726,89.142541672,0,272887656,272888015
mask_control,4,model4,4,1023,1023,640,16,6773,59.932378562,89.579443513,0,272888140,272888546
mask_control,5,masked4,4,1023,1023,640,16,5634,67.645367412,79.365510535,0,272888656,272889031
mask_control,6,masked4,4,1023,1023,640,16,5419,67.503967522,79.531756682,0,272889140,272889515
mask_control,7,model4,4,1023,1023,640,16,6845,60.579254931,88.622897825,0,272889625,272890046
both_address,0,masked4,4,0,0,640,16,16495,21.211276144,253.106370568,0,272890140,272890484
both_address,1,masked4,4,1023,1023,640,16,5459,47.304268181,113.493122850,0,272890593,272890843
both_address,2,masked4,4,1023,1023,640,16,5544,67.196067821,79.896179852,0,272890953,272891328
both_address,3,masked4,4,0,0,640,16,17168,21.249650513,252.649290247,0,272891421,272891781
both_address,4,masked4,4,0,0,640,16,15480,21.295090439,252.110181702,0,272891875,272892203
both_address,5,masked4,4,1023,1023,640,16,6027,66.550356728,80.671380049,0,272892312,272892718
both_address,6,masked4,4,1023,1023,640,16,5596,65.785203717,81.609675378,0,272892828,272893203
both_address,7,masked4,4,0,0,640,16,17762,21.281330931,252.273184293,0,272893296,272893671
A_address,0,masked4,4,0,1023,640,16,4703,81.188603019,66.126388684,0,272893781,272894171
A_address,1,masked4,4,1023,1023,640,16,6076,67.117511521,79.989692680,0,272894281,272894687
A_address,2,masked4,4,1023,1023,640,16,5269,66.336116910,80.931917183,0,272894796,272895140
A_address,3,masked4,4,0,1023,640,16,4710,81.243949045,66.081341234,0,272895265,272895640
A_address,4,masked4,4,0,1023,640,16,4025,81.199254658,66.117714289,0,272895750,272896078
A_address,5,masked4,4,1023,1023,640,16,6865,67.860742899,79.113621376,0,272896203,272896671
A_address,6,masked4,4,1023,1023,640,16,5515,66.796554850,80.374042225,0,272896781,272897140
A_address,7,masked4,4,0,1023,640,16,4632,80.585492228,66.621285936,0,272897265,272897640
B_address,0,masked4,4,1023,0,640,16,16267,23.099157804,232.420123951,0,272897734,272898109
B_address,1,masked4,4,1023,1023,640,16,6284,65.745544239,81.658904525,0,272898218,272898640
B_address,2,masked4,4,1023,1023,640,16,5505,65.710990009,81.701844992,0,272898750,272899109
B_address,3,masked4,4,1023,0,640,16,15905,23.056208739,232.853075746,0,272899203,272899562
B_address,4,masked4,4,1023,0,640,16,16885,23.052531833,232.890216090,0,272899671,272900062
B_address,5,masked4,4,1023,1023,640,16,6400,65.678750000,81.741950326,0,272900171,272900593
B_address,6,masked4,4,1023,1023,640,16,5708,66.065872460,81.262971639,0,272900703,272901078
B_address,7,masked4,4,1023,0,640,16,16201,23.030862292,233.109340494,0,272901187,272901562
chains1_4,0,resident1,1,0,0,640,16,23433,15.382580122,349.012264354,0,272901656,272902015
chains1_4,1,resident4,4,0,0,640,16,21740,16.180910764,331.792764848,0,272902109,272902453
chains1_4,2,resident4,4,0,0,640,16,21483,16.190522739,331.595786410,0,272902546,272902890
chains1_4,3,resident1,1,0,0,640,16,23189,15.394928630,348.732316274,0,272902984,272903343
chains1_4,4,resident1,1,0,0,640,16,22510,15.406130609,348.478748908,0,272903437,272903781
chains1_4,5,resident4,4,0,0,640,16,21882,16.205328581,331.292827128,0,272903875,272904234
chains1_4,6,resident4,4,0,0,640,16,21322,16.175593284,331.901836660,0,272904328,272904671
chains1_4,7,resident1,1,0,0,640,16,22715,15.417829628,348.214323905,0,272904750,272905109
chains2_4,0,resident2,2,0,0,640,16,22112,16.046445369,334.573109279,0,272905203,272905562
