test,slot,chunk,launches,mean_us,start_ms,end_ms
B_span16,0,0,1689,21.039076377,273661718,273661750
B_span16,0,1,1689,21.615156898,273661765,273661796
B_span16,0,2,1689,22.106571936,273661796,273661843
B_span16,0,3,1689,22.127886323,273661843,273661875
B_span16,0,4,1689,22.132030787,273661875,273661921
B_span16,0,5,1689,22.143872114,273661921,273661953
B_span16,0,6,1689,22.169330965,273661953,273662000
B_span16,0,7,1689,22.142687981,273662000,273662031
B_span16,0,8,1689,22.209591474,273662031,273662078
B_span16,0,9,1689,22.128478390,273662078,273662109
B_span16,1,0,1096,37.016423358,273662421,273662468
B_span16,1,1,1096,36.906934307,273662468,273662500
B_span16,1,2,1096,37.096715328,273662515,273662546
B_span16,1,3,1096,36.765510949,273662546,273662593
B_span16,1,4,1096,36.625912409,273662593,273662640
B_span16,1,5,1096,36.846715328,273662640,273662671
B_span16,1,6,1096,36.790145985,273662671,273662718
B_span16,1,7,1096,36.676094891,273662718,273662765
B_span16,1,8,1096,36.555656934,273662765,273662796
B_span16,1,9,1096,36.431569343,273662812,273662843
B_span16,2,0,1073,36.615097856,273663156,273663187
B_span16,2,1,1073,36.778191985,273663203,273663234
B_span16,2,2,1073,36.672879776,273663234,273663281
B_span16,2,3,1073,36.807082945,273663281,273663312
B_span16,2,4,1073,36.608574091,273663328,273663359
B_span16,2,5,1073,36.715750233,273663359,273663406
B_span16,2,6,1073,36.575023299,273663406,273663437
B_span16,2,7,1073,36.849021435,273663453,273663484
B_span16,2,8,1073,36.893755825,273663484,273663531
B_span16,2,9,1073,37.005591799,273663531,273663562
B_span16,3,0,1715,21.535860058,273663875,273663906
B_span16,3,1,1715,22.084548105,273663906,273663953
B_span16,3,2,1715,22.246647230,273663953,273663984
B_span16,3,3,1715,22.240816327,273663984,273664031
B_span16,3,4,1715,22.218658892,273664031,273664062
B_span16,3,5,1715,22.282798834,273664062,273664109
B_span16,3,6,1715,22.270553936,273664109,273664140
B_span16,3,7,1715,22.230320700,273664156,273664187
B_span16,3,8,1715,22.218075802,273664187,273664234
B_span16,3,9,1715,22.254810496,273664234,273664265
B_span16,4,0,1708,21.580210773,273664562,273664609
B_span16,4,1,1708,22.134660422,273664609,273664640
B_span16,4,2,1708,22.264051522,273664640,273664687
B_span16,4,3,1708,22.216042155,273664687,273664718
B_span16,4,4,1708,22.172131148,273664734,273664765
B_span16,4,5,1708,22.289812646,273664765,273664812
B_span16,4,6,1708,22.305035129,273664812,273664843
B_span16,4,7,1708,22.240046838,273664843,273664890
B_span16,4,8,1708,22.265222482,273664890,273664921
B_span16,4,9,1708,22.285714286,273664921,273664968
B_span16,5,0,1098,36.703096539,273665281,273665312
B_span16,5,1,1098,36.591074681,273665312,273665359
B_span16,5,2,1098,36.513661202,273665359,273665406
B_span16,5,3,1098,36.482695811,273665406,273665437
B_span16,5,4,1098,36.687613843,273665453,273665484
B_span16,5,5,1098,36.893442623,273665484,273665531
B_span16,5,6,1098,36.953551913,273665531,273665578
B_span16,5,7,1098,36.660291439,273665578,273665609
B_span16,5,8,1098,36.847905282,273665609,273665656
