test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
B_span16,0,masked4,4,1023,15,640,16,16890,21.981468324,244.237966307,0,273661718,273662109
B_span16,1,masked4,4,1023,1023,640,16,10960,36.771167883,146.003225599,0,273662421,273662843
B_span16,2,masked4,4,1023,1023,640,16,10730,36.752096925,146.078987847,0,273663156,273663562
B_span16,3,masked4,4,1023,15,640,16,17150,22.158309038,242.288755465,0,273663859,273664265
B_span16,4,masked4,4,1023,15,640,16,17080,22.175292740,242.103190381,0,273664562,273664968
B_span16,5,masked4,4,1023,1023,640,16,10980,36.713843352,146.231193193,0,273665281,273665703
B_span16,6,masked4,4,1023,1023,640,16,11110,36.981638164,145.172290536,0,273666015,273666437
B_span16,7,masked4,4,1023,15,640,16,15970,22.201440200,241.818056466,0,273666734,273667109
B_span32,0,masked4,4,1023,31,640,16,14390,26.466157054,202.851857531,0,273667406,273667812
B_span32,1,masked4,4,1023,1023,640,16,11520,36.818315972,145.816259604,0,273668125,273668578
B_span32,2,masked4,4,1023,1023,640,16,10230,37.058162268,144.872513677,0,273668875,273669281
B_span32,3,masked4,4,1023,31,640,16,14440,26.545567867,202.245028130,0,273669578,273669984
B_span32,4,masked4,4,1023,31,640,16,14630,26.569104580,202.065865784,0,273670281,273670703
B_span32,5,masked4,4,1023,1023,640,16,10470,37.058452722,144.871378205,0,273671000,273671406
B_span32,6,masked4,4,1023,1023,640,16,10210,37.067384917,144.836468288,0,273671718,273672109
B_span32,7,masked4,4,1023,31,640,16,14440,26.598407202,201.843256221,0,273672421,273672828
B_span64,0,masked4,4,1023,63,640,16,7920,48.786363636,110.045281506,0,273673125,273673546
B_span64,1,masked4,4,1023,1023,640,16,10230,36.813489736,145.835376067,0,273673843,273674234
B_span64,2,masked4,4,1023,1023,640,16,10070,36.889076465,145.536555385,0,273674546,273674937
B_span64,3,masked4,4,1023,63,640,16,7900,48.841392405,109.921295353,0,273675250,273675656
B_span64,4,masked4,4,1023,63,640,16,7810,48.930729834,109.720601721,0,273675953,273676359
B_span64,5,masked4,4,1023,1023,640,16,10180,36.715913556,146.222948036,0,273676656,273677062
B_span64,6,masked4,4,1023,1023,640,16,10280,36.661770428,146.438894176,0,273677359,273677765
B_span64,7,masked4,4,1023,63,640,16,7850,48.794012739,110.028030462,0,273678062,273678468
B_span128,0,masked4,4,1023,127,640,16,11620,31.064457831,172.824813140,0,273678765,273679156
B_span128,1,masked4,4,1023,1023,640,16,10200,36.441274510,147.324954800,0,273679453,273679843
B_span128,2,masked4,4,1023,1023,640,16,10560,36.353030303,147.682574884,0,273680156,273680562
B_span128,3,masked4,4,1023,127,640,16,11930,31.025146689,173.043794887,0,273680859,273681250
B_span128,4,masked4,4,1023,127,640,16,11880,30.900589226,173.741318679,0,273681546,273681937
B_span128,5,masked4,4,1023,1023,640,16,10430,36.804697987,145.870212601,0,273682250,273682656
B_span128,6,masked4,4,1023,1023,640,16,10200,36.968725490,145.222997245,0,273682953,273683343
B_span128,7,masked4,4,1023,127,640,16,12280,31.021742671,173.062782995,0,273683656,273684046
B_span256,0,masked4,4,1023,255,640,16,9960,39.322891566,136.528848876,0,273684359,273684781
B_span256,1,masked4,4,1023,1023,640,16,10300,36.052524272,148.913542905,0,273685078,273685468
B_span256,2,masked4,4,1023,1023,640,16,10630,35.912699906,149.493330606,0,273685781,273686171
B_span256,3,masked4,4,1023,255,640,16,9780,39.269836401,136.713304970,0,273686484,273686890
B_span256,4,masked4,4,1023,255,640,16,9660,39.230848861,136.849170381,0,273687187,273687593
B_span256,5,masked4,4,1023,1023,640,16,10630,35.637723424,150.646803559,0,273687890,273688296
B_span256,6,masked4,4,1023,1023,640,16,10170,35.344247788,151.897676597,0,273688593,273688984
B_span256,7,masked4,4,1023,255,640,16,9770,39.316786080,136.550050380,0,273689281,273689687
B_span512,0,masked4,4,1023,511,640,16,12160,34.442927632,155.872612730,0,273690000,273690437
B_span512,1,masked4,4,1023,1023,640,16,10390,36.711645813,146.239946509,0,273690734,273691140
B_span512,2,masked4,4,1023,1023,640,16,10270,36.571567673,146.800081638,0,273691437,273691843
B_span512,3,masked4,4,1023,511,640,16,11150,34.301255605,156.516402250,0,273692140,273692546
B_span512,4,masked4,4,1023,511,640,16,11520,34.366579861,156.218894685,0,273692843,273693265
B_span512,5,masked4,4,1023,1023,640,16,10750,36.457302326,147.260185958,0,273693578,273693984
B_span512,6,masked4,4,1023,1023,640,16,10550,36.569289100,146.809228514,0,273694296,273694703
B_span512,7,masked4,4,1023,511,640,16,11700,34.417179487,155.989223986,0,273695000,273695421
B_span1024,0,masked4,4,1023,1023,640,16,10170,36.314650934,147.838654149,0,273695734,273696125
B_span1024,1,masked4,4,1023,1023,640,16,10590,36.562417375,146.836820579,0,273696421,273696828
B_span1024,2,masked4,4,1023,1023,640,16,10510,36.055280685,148.902158519,0,273697140,273697531
B_span1024,3,masked4,4,1023,1023,640,16,10300,36.387087379,147.544349020,0,273697843,273698234
B_span1024,4,masked4,4,1023,1023,640,16,10440,36.237739464,148.152428917,0,273698546,273698937
B_span1024,5,masked4,4,1023,1023,640,16,10390,36.269201155,148.023914204,0,273699250,273699640
B_span1024,6,masked4,4,1023,1023,640,16,10330,36.308422072,147.864016492,0,273699953,273700343
B_span1024,7,masked4,4,1023,1023,640,16,10260,36.087524366,148.769116592,0,273700640,273701031
