test,slot,chunk,launches,mean_us,start_ms,end_ms
mat_control,0,0,1240,31.468548387,283117046,283117078
mat_control,0,1,1240,31.164516129,283117093,283117125
mat_control,0,2,1240,30.979838710,283117125,283117171
mat_control,0,3,1240,31.431451613,283117171,283117203
mat_control,0,4,1240,31.188709677,283117203,283117250
mat_control,0,5,1240,31.440322581,283117250,283117296
mat_control,0,6,1240,31.565322581,283117296,283117328
mat_control,0,7,1240,31.686290323,283117328,283117375
mat_control,0,8,1240,31.102419355,283117375,283117406
mat_control,0,9,1240,31.446774194,283117421,283117453
mat_control,1,0,1230,31.955284553,283117765,283117796
mat_control,1,1,1230,31.809756098,283117796,283117843
mat_control,1,2,1230,31.778048780,283117843,283117890
mat_control,1,3,1230,31.867479675,283117890,283117921
mat_control,1,4,1230,31.717073171,283117921,283117968
mat_control,1,5,1230,31.452845528,283117968,283118000
mat_control,1,6,1230,31.945528455,283118015,283118046
mat_control,1,7,1230,31.527642276,283118046,283118093
mat_control,1,8,1230,31.598373984,283118093,283118125
mat_control,1,9,1230,31.665040650,283118125,283118171
mat_control,2,0,1324,31.901057402,283118484,283118531
mat_control,2,1,1324,31.623867069,283118531,283118578
mat_control,2,2,1324,31.587613293,283118578,283118609
mat_control,2,3,1324,31.934290030,283118625,283118656
mat_control,2,4,1324,31.759063444,283118656,283118703
mat_control,2,5,1324,31.361027190,283118703,283118750
mat_control,2,6,1324,31.283232628,283118750,283118796
mat_control,2,7,1324,31.084592145,283118796,283118828
mat_control,2,8,1324,30.969788520,283118843,283118875
mat_control,2,9,1324,31.335347432,283118875,283118921
mat_control,3,0,1252,29.962460064,283119218,283119265
mat_control,3,1,1252,30.128594249,283119265,283119296
mat_control,3,2,1252,29.754792332,283119296,283119343
mat_control,3,3,1252,29.694888179,283119343,283119375
mat_control,3,4,1252,29.733226837,283119390,283119421
mat_control,3,5,1252,29.900958466,283119421,283119453
mat_control,3,6,1252,29.890575080,283119468,283119500
mat_control,3,7,1252,29.918530351,283119500,283119546
mat_control,3,8,1252,29.752396166,283119546,283119578
mat_control,3,9,1252,30.051118211,283119578,283119625
mat_control,4,0,1302,29.852534562,283119921,283119968
mat_control,4,1,1302,29.597542243,283119968,283120000
mat_control,4,2,1302,29.609831029,283120015,283120046
mat_control,4,3,1302,29.697388633,283120046,283120093
mat_control,4,4,1302,29.599078341,283120093,283120125
mat_control,4,5,1302,29.562980031,283120125,283120171
mat_control,4,6,1302,29.440860215,283120171,283120203
mat_control,4,7,1302,29.609062980,283120218,283120250
mat_control,4,8,1302,29.774961598,283120250,283120296
mat_control,4,9,1302,29.995391705,283120296,283120328
mat_control,5,0,1240,30.258064516,283120640,283120671
mat_control,5,1,1240,30.279032258,283120671,283120718
mat_control,5,2,1240,30.125000000,283120718,283120750
mat_control,5,3,1240,30.391935484,283120750,283120796
mat_control,5,4,1240,29.979032258,283120796,283120828
mat_control,5,5,1240,30.179838710,283120828,283120875
mat_control,5,6,1240,30.161290323,283120875,283120906
mat_control,5,7,1240,29.955645161,283120906,283120953
mat_control,5,8,1240,30.453225806,283120953,283120984
mat_control,5,9,1240,29.975806452,283120984,283121031
mat_control,6,0,1183,30.012679628,283121328,283121359
mat_control,6,1,1183,29.626373626,283121359,283121406
mat_control,6,2,1183,30.128486898,283121406,283121437
mat_control,6,3,1183,29.945054945,283121437,283121468
mat_control,6,4,1183,29.770076078,283121468,283121515
mat_control,6,5,1183,29.893491124,283121515,283121546
mat_control,6,6,1183,29.223161454,283121546,283121578
mat_control,6,7,1183,29.983093829,283121593,283121625
mat_control,6,8,1183,29.781910397,283121625,283121656
mat_control,6,9,1183,29.941673711,283121656,283121703
mat_control,7,0,1164,30.131443299,283122000,283122031
mat_control,7,1,1164,29.326460481,283122031,283122062
mat_control,7,2,1164,29.719931271,283122062,283122109
mat_control,7,3,1164,29.896907216,283122109,283122140
mat_control,7,4,1164,30.109965636,283122140,283122171
mat_control,7,5,1164,29.650343643,283122171,283122218
mat_control,7,6,1164,29.786941581,283122218,283122250
mat_control,7,7,1164,29.440721649,283122250,283122281
mat_control,7,8,1164,29.462199313,283122296,283122328
mat_control,7,9,1164,29.392611684,283122328,283122359
mat_group2,0,0,1290,30.008527132,283122671,283122703
mat_group2,0,1,1290,29.673643411,283122703,283122750
mat_group2,0,2,1290,29.726356589,283122750,283122781
mat_group2,0,3,1290,29.741860465,283122781,283122828
mat_group2,0,4,1290,29.400000000,283122828,283122859
mat_group2,0,5,1290,29.682945736,283122875,283122906
mat_group2,0,6,1290,29.559689922,283122906,283122953
mat_group2,0,7,1290,29.410077519,283122953,283122984
mat_group2,0,8,1290,29.779844961,283122984,283123031
mat_group2,0,9,1290,29.199224806,283123031,283123062
mat_group2,1,0,909,43.249724972,283123375,283123421
mat_group2,1,1,909,43.068206821,283123421,283123453
mat_group2,1,2,909,42.952695270,283123453,283123500
mat_group2,1,3,909,43.031903190,283123500,283123546
mat_group2,1,4,909,42.381738174,283123546,283123578
mat_group2,1,5,909,42.873487349,283123578,283123625
mat_group2,1,6,909,42.848184818,283123625,283123656
mat_group2,1,7,909,42.847084708,283123671,283123703
mat_group2,1,8,909,42.980198020,283123703,283123750
mat_group2,1,9,909,43.156215622,283123750,283123781
mat_group2,2,0,890,43.111235955,283124093,283124125
mat_group2,2,1,890,43.228089888,283124140,283124171
mat_group2,2,2,890,42.897752809,283124171,283124218
mat_group2,2,3,890,42.748314607,283124218,283124250
mat_group2,2,4,890,42.844943820,283124250,283124296
mat_group2,2,5,890,43.055056180,283124296,283124328
mat_group2,2,6,890,43.016853933,283124343,283124375
