test,slot,kernel,chains,astride,bstride,tokens,waves,groups,threads,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
mat_control,0,pair128,4,0,0,640,1,2560,32,16,12400,31.347419355,171.264787676,0,283117046,283117453
mat_control,1,mat_i1,4,0,0,640,1,2560,32,16,12300,31.731707317,169.190679416,0,283117765,283118171
mat_control,2,mat_i1,4,0,0,640,1,2560,32,16,13240,31.483987915,170.521889871,0,283118484,283118921
mat_control,3,pair128,4,0,0,640,1,2560,32,16,12520,29.878753994,179.683166211,0,283119218,283119625
mat_control,4,pair128,4,0,0,640,1,2560,32,16,13020,29.673963134,180.923225382,0,283119921,283120328
mat_control,5,mat_i1,4,0,0,640,1,2560,32,16,12400,30.175887097,177.913878813,0,283120625,283121031
mat_control,6,mat_i1,4,0,0,640,1,2560,32,16,11830,29.830600169,179.973218426,0,283121328,283121703
mat_control,7,pair128,4,0,0,640,1,2560,32,16,11640,29.691752577,180.814827485,0,283122000,283122359
mat_group2,0,mat_i1,4,0,0,640,1,2560,32,16,12900,29.618217054,181.263750960,0,283122656,283123062
mat_group2,1,mat_i2,4,0,0,640,2,1280,64,16,9090,42.938943894,125.031233493,0,283123375,283123781
mat_group2,2,mat_i2,4,0,0,640,2,1280,64,16,8900,42.941797753,125.022924073,0,283124093,283124500
mat_group2,3,mat_i1,4,0,0,640,1,2560,32,16,12860,29.454665630,182.270244975,0,283124796,283125203
mat_group2,4,mat_i1,4,0,0,640,1,2560,32,16,11890,29.583010934,181.479469147,0,283125500,283125875
mat_group2,5,mat_i2,4,0,0,640,2,1280,64,16,8730,42.987056128,124.891295277,0,283126171,283126562
mat_group2,6,mat_i2,4,0,0,640,2,1280,64,16,8900,42.941573034,125.023578335,0,283126875,283127281
mat_group2,7,mat_i1,4,0,0,640,1,2560,32,16,11970,29.502589808,181.974164132,0,283127578,283127953
mat_map2,0,mat_i2,4,0,0,640,2,1280,64,16,9150,42.822295082,125.371821144,0,283128265,283128671
mat_map2,1,mat_m2,4,0,0,640,2,1280,64,16,8630,44.575782155,120.440043010,0,283128984,283129390
mat_map2,2,mat_m2,4,0,0,640,2,1280,64,16,8720,44.636353211,120.276607155,0,283129687,283130109
mat_map2,3,mat_i2,4,0,0,640,2,1280,64,16,8990,42.904449388,125.131756649,0,283130406,283130812
mat_map2,4,mat_i2,4,0,0,640,2,1280,64,16,9260,42.855291577,125.275290926,0,283131125,283131546
mat_map2,5,mat_m2,4,0,0,640,2,1280,64,16,8470,44.623022432,120.312538851,0,283131843,283132250
mat_map2,6,mat_m2,4,0,0,640,2,1280,64,16,8960,44.339843750,121.080921040,0,283132562,283132968
mat_map2,7,mat_i2,4,0,0,640,2,1280,64,16,8520,42.850234742,125.290074893,0,283133281,283133656
mat_group4,0,mat_i1,4,0,0,640,1,2560,32,16,12450,29.559036145,181.626663797,0,283133968,283134359
mat_group4,1,mat_i4,4,0,0,640,4,640,128,16,8530,43.592145369,123.157717394,0,283134656,283135046
mat_group4,2,mat_i4,4,0,0,640,4,640,128,16,8830,43.604756512,123.122098355,0,283135359,283135765
mat_group4,3,mat_i1,4,0,0,640,1,2560,32,16,12500,29.430240000,182.421520178,0,283136062,283136453
mat_group4,4,mat_i1,4,0,0,640,1,2560,32,16,12830,29.470615744,182.171596500,0,283136750,283137156
mat_group4,5,mat_i4,4,0,0,640,4,640,128,16,9060,43.536203091,123.315970133,0,283137453,283137875
mat_group4,6,mat_i4,4,0,0,640,4,640,128,16,8640,43.336458333,123.884353417,0,283138171,283138578
mat_group4,7,mat_i1,4,0,0,640,1,2560,32,16,12850,29.444902724,182.330679451,0,283138875,283139281
mat_map4,0,mat_i4,4,0,0,640,4,640,128,16,8620,43.660440835,122.965069003,0,283139578,283139984
mat_map4,1,mat_m4,4,0,0,640,4,640,128,16,8410,45.843043995,117.110659592,0,283140281,283140687
mat_map4,2,mat_m4,4,0,0,640,4,640,128,16,8290,45.830277443,117.143282118,0,283141000,283141390
mat_map4,3,mat_i4,4,0,0,640,4,640,128,16,8710,43.570723307,123.218269346,0,283141703,283142109
mat_map4,4,mat_i4,4,0,0,640,4,640,128,16,8840,43.409502262,123.675896755,0,283142406,283142812
mat_map4,5,mat_m4,4,0,0,640,4,640,128,16,8040,45.650497512,117.604613587,0,283143109,283143500
mat_map4,6,mat_m4,4,0,0,640,4,640,128,16,8210,45.922289890,116.908567339,0,283143812,283144203
mat_map4,7,mat_i4,4,0,0,640,4,640,128,16,8660,43.494457275,123.434328335,0,283144515,283144906
mat_group8,0,mat_i1,4,0,0,640,1,2560,32,16,12250,29.355265306,182.887433107,0,283145203,283145593
mat_group8,1,mat_i8,4,0,0,640,8,320,256,16,8210,46.851400731,114.590151762,0,283145890,283146296
mat_group8,2,mat_i8,4,0,0,640,8,320,256,16,8190,46.885714286,114.506288361,0,283146609,283147015
mat_group8,3,mat_i1,4,0,0,640,1,2560,32,16,13250,29.433886792,182.398918561,0,283147312,283147734
mat_group8,4,mat_i1,4,0,0,640,1,2560,32,16,12820,29.317940718,183.120266587,0,283148031,283148421
mat_group8,5,mat_i8,4,0,0,640,8,320,256,16,8100,46.998271605,114.232054428,0,283148734,283149140
mat_group8,6,mat_i8,4,0,0,640,8,320,256,16,8000,46.870375000,114.543762878,0,283149437,283149828
mat_group8,7,mat_i1,4,0,0,640,1,2560,32,16,13040,29.370092025,182.795107197,0,283150140,283150546
mat_map8,0,mat_i8,4,0,0,640,8,320,256,16,8210,46.851644336,114.589555950,0,283150843,283151250
mat_map8,1,mat_m8,4,0,0,640,8,320,256,16,8270,46.700604595,114.960163076,0,283151562,283151968
mat_map8,2,mat_m8,4,0,0,640,8,320,256,16,8390,46.699523242,114.962825042,0,283152281,283152687
mat_map8,3,mat_i8,4,0,0,640,8,320,256,16,8240,46.956553398,114.333543062,0,283153000,283153406
mat_map8,4,mat_i8,4,0,0,640,8,320,256,16,7890,46.977313054,114.283018141,0,283153718,283154109
mat_map8,5,mat_m8,4,0,0,640,8,320,256,16,8060,46.762655087,114.807619671,0,283154406,283154812
mat_map8,6,mat_m8,4,0,0,640,8,320,256,16,8250,46.491757576,115.476579074,0,283155109,283155515
mat_map8,7,mat_i8,4,0,0,640,8,320,256,16,7970,47.011292346,114.200415518,0,283155828,283156218
load_control,0,pair128_loadonly_multi,4,0,0,640,1,2560,32,16,9950,37.652663317,0.000000000,0,283156515,283156921
load_control,1,load_i1,4,0,0,640,1,2560,32,16,10610,37.450518379,0.000000000,0,283157218,283157640
load_control,2,load_i1,4,0,0,640,1,2560,32,16,10320,37.349127907,0.000000000,0,283157953,283158359
load_control,3,pair128_loadonly_multi,4,0,0,640,1,2560,32,16,10180,37.821709234,0.000000000,0,283158656,283159062
load_control,4,pair128_loadonly_multi,4,0,0,640,1,2560,32,16,10510,37.579923882,0.000000000,0,283159375,283159781
load_control,5,load_i1,4,0,0,640,1,2560,32,16,10060,37.550000000,0.000000000,0,283160093,283160484
load_control,6,load_i1,4,0,0,640,1,2560,32,16,10290,37.494071914,0.000000000,0,283160796,283161203
load_control,7,pair128_loadonly_multi,4,0,0,640,1,2560,32,16,10290,37.731681244,0.000000000,0,283161515,283161921
load_group2,0,load_i1,4,0,0,640,1,2560,32,16,10430,37.384659636,0.000000000,0,283162218,283162640
load_group2,1,load_i2,4,0,0,640,2,1280,64,16,9680,39.311466942,0.000000000,0,283162937,283163343
load_group2,2,load_i2,4,0,0,640,2,1280,64,16,9670,38.277766287,0.000000000,0,283163640,283164031
load_group2,3,load_i1,4,0,0,640,1,2560,32,16,10190,37.627183513,0.000000000,0,283164343,283164750
load_group2,4,load_i1,4,0,0,640,1,2560,32,16,9710,37.511122554,0.000000000,0,283165046,283165437
load_group2,5,load_i2,4,0,0,640,2,1280,64,16,10110,39.178041543,0.000000000,0,283165734,283166156
load_group2,6,load_i2,4,0,0,640,2,1280,64,16,9770,39.103889458,0.000000000,0,283166468,283166859
load_group2,7,load_i1,4,0,0,640,1,2560,32,16,10710,37.443417367,0.000000000,0,283167171,283167593
load_map2,0,load_i2,4,0,0,640,2,1280,64,16,9990,39.256456456,0.000000000,0,283167906,283168312
load_map2,1,load_m2,4,0,0,640,2,1280,64,16,9340,40.900000000,0.000000000,0,283168625,283169031
load_map2,2,load_m2,4,0,0,640,2,1280,64,16,9340,40.938543897,0.000000000,0,283169328,283169734
load_map2,3,load_i2,4,0,0,640,2,1280,64,16,9810,39.097043833,0.000000000,0,283170031,283170437
load_map2,4,load_i2,4,0,0,640,2,1280,64,16,9610,39.267325702,0.000000000,0,283170750,283171140
load_map2,5,load_m2,4,0,0,640,2,1280,64,16,9520,40.884453782,0.000000000,0,283171453,283171859
load_map2,6,load_m2,4,0,0,640,2,1280,64,16,9660,40.899275362,0.000000000,0,283172171,283172593
load_map2,7,load_i2,4,0,0,640,2,1280,64,16,9690,39.281217750,0.000000000,0,283172890,283173296
load_group4,0,load_i1,4,0,0,640,1,2560,32,16,10190,37.302845927,0.000000000,0,283173593,283174000
load_group4,1,load_i4,4,0,0,640,4,640,128,16,10030,39.253240279,0.000000000,0,283174312,283174718
load_group4,2,load_i4,4,0,0,640,4,640,128,16,9750,39.304307692,0.000000000,0,283175031,283175437
load_group4,3,load_i1,4,0,0,640,1,2560,32,16,10500,37.350380952,0.000000000,0,283175734,283176156
load_group4,4,load_i1,4,0,0,640,1,2560,32,16,9900,37.395252525,0.000000000,0,283176453,283176843
load_group4,5,load_i4,4,0,0,640,4,640,128,16,9700,39.286804124,0.000000000,0,283177156,283177546
load_group4,6,load_i4,4,0,0,640,4,640,128,16,9920,39.216532258,0.000000000,0,283177859,283178265
load_group4,7,load_i1,4,0,0,640,1,2560,32,16,9550,37.360104712,0.000000000,0,283178562,283178953
load_map4,0,load_i4,4,0,0,640,4,640,128,16,9640,39.226763485,0.000000000,0,283179250,283179656
load_map4,1,load_m4,4,0,0,640,4,640,128,16,9240,41.889069264,0.000000000,0,283179953,283180359
load_map4,2,load_m4,4,0,0,640,4,640,128,16,9420,41.861995754,0.000000000,0,283180671,283181093
load_map4,3,load_i4,4,0,0,640,4,640,128,16,9740,39.208316222,0.000000000,0,283181390,283181796
load_map4,4,load_i4,4,0,0,640,4,640,128,16,9690,39.265221878,0.000000000,0,283182093,283182500
load_map4,5,load_m4,4,0,0,640,4,640,128,16,9150,41.919125683,0.000000000,0,283182812,283183218
load_map4,6,load_m4,4,0,0,640,4,640,128,16,9150,41.813442623,0.000000000,0,283183515,283183921
load_map4,7,load_i4,4,0,0,640,4,640,128,16,9330,39.071275456,0.000000000,0,283184218,283184609
load_group8,0,load_i1,4,0,0,640,1,2560,32,16,10310,37.468477207,0.000000000,0,283184921,283185328
load_group8,1,load_i8,4,0,0,640,8,320,256,16,8650,44.452023121,0.000000000,0,283185625,283186031
load_group8,2,load_i8,4,0,0,640,8,320,256,16,8660,44.515473441,0.000000000,0,283186343,283186750
load_group8,3,load_i1,4,0,0,640,1,2560,32,16,10770,37.319220056,0.000000000,0,283187062,283187484
load_group8,4,load_i1,4,0,0,640,1,2560,32,16,10480,37.573377863,0.000000000,0,283187781,283188203
load_group8,5,load_i8,4,0,0,640,8,320,256,16,8630,44.212398610,0.000000000,0,283188515,283188906
load_group8,6,load_i8,4,0,0,640,8,320,256,16,8750,44.333714286,0.000000000,0,283189218,283189625
load_group8,7,load_i1,4,0,0,640,1,2560,32,16,9890,37.414155713,0.000000000,0,283189937,283190328
load_map8,0,load_i8,4,0,0,640,8,320,256,16,8340,44.511870504,0.000000000,0,283190625,283191015
load_map8,1,load_m8,4,0,0,640,8,320,256,16,9240,41.995129870,0.000000000,0,283191328,283191734
load_map8,2,load_m8,4,0,0,640,8,320,256,16,9080,41.821035242,0.000000000,0,283192031,283192437
load_map8,3,load_i8,4,0,0,640,8,320,256,16,8650,44.481734104,0.000000000,0,283192750,283193156
load_map8,4,load_i8,4,0,0,640,8,320,256,16,9030,44.498338870,0.000000000,0,283193453,283193890
load_map8,5,load_m8,4,0,0,640,8,320,256,16,8820,41.897052154,0.000000000,0,283194187,283194578
load_map8,6,load_m8,4,0,0,640,8,320,256,16,8980,41.899443207,0.000000000,0,283194875,283195281
load_map8,7,load_i8,4,0,0,640,8,320,256,16,8890,44.526209224,0.000000000,0,283195593,283196000
