test,slot,chunk,launches,mean_us,start_ms,end_ms
mat_order_control,0,0,1261,31.901665345,284101687,284101734
mat_order_control,0,1,1261,31.677240285,284101734,284101781
mat_order_control,0,2,1261,31.767644726,284101781,284101812
mat_order_control,0,3,1261,31.707375099,284101812,284101859
mat_order_control,0,4,1261,31.688342585,284101859,284101906
mat_order_control,0,5,1261,31.662172879,284101906,284101937
mat_order_control,0,6,1261,31.768437748,284101953,284101984
mat_order_control,0,7,1261,31.818398097,284101984,284102031
mat_order_control,0,8,1261,31.539254560,284102031,284102062
mat_order_control,0,9,1261,31.829500397,284102078,284102109
mat_order_control,1,0,1289,33.304887510,284102421,284102468
mat_order_control,1,1,1289,32.915438324,284102468,284102515
mat_order_control,1,2,1289,33.031031808,284102515,284102562
mat_order_control,1,3,1289,32.965865012,284102562,284102609
mat_order_control,1,4,1289,33.092319628,284102609,284102656
mat_order_control,1,5,1289,32.843289372,284102656,284102687
mat_order_control,1,6,1289,32.967416602,284102703,284102734
mat_order_control,1,7,1289,32.826997673,284102734,284102781
mat_order_control,1,8,1289,32.887509697,284102781,284102828
mat_order_control,1,9,1289,32.857253685,284102828,284102875
mat_order_control,2,0,1227,31.355338223,284103171,284103218
mat_order_control,2,1,1227,29.704156479,284103218,284103250
mat_order_control,2,2,1227,29.334148329,284103250,284103296
mat_order_control,2,3,1227,28.852485738,284103296,284103328
mat_order_control,2,4,1227,29.441727791,284103328,284103375
mat_order_control,2,5,1227,29.356153219,284103375,284103406
mat_order_control,2,6,1227,29.389568052,284103406,284103437
mat_order_control,2,7,1227,29.374083130,284103453,284103484
mat_order_control,2,8,1227,29.518337408,284103484,284103515
mat_order_control,2,9,1227,29.754686227,284103515,284103562
mat_order_control,3,0,1216,30.009046053,284103859,284103890
mat_order_control,3,1,1216,29.662006579,284103890,284103937
mat_order_control,3,2,1216,29.818256579,284103937,284103968
mat_order_control,3,3,1216,29.560855263,284103968,284104015
mat_order_control,3,4,1216,29.416940789,284104015,284104046
mat_order_control,3,5,1216,29.841282895,284104046,284104093
mat_order_control,3,6,1216,29.697368421,284104093,284104125
mat_order_control,3,7,1216,29.413651316,284104125,284104156
mat_order_control,3,8,1216,29.478618421,284104171,284104203
mat_order_control,3,9,1216,29.494243421,284104203,284104234
mat_order_control,4,0,1217,29.723911257,284104531,284104578
mat_order_control,4,1,1217,29.517666393,284104578,284104609
mat_order_control,4,2,1217,29.359901397,284104609,284104656
mat_order_control,4,3,1217,29.656532457,284104656,284104687
