test,slot,kernel,chains,astride,bstride,tokens,waves,groups,threads,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
mat_order_control,0,mat_i1,4,0,0,640,1,2560,32,16,12610,31.736003172,169.167777394,0,284101687,284102109
mat_order_control,1,order_mat,4,1,0,640,1,2560,32,16,12890,32.969200931,162.840134683,0,284102421,284102875
mat_order_control,2,order_mat,4,1,0,640,1,2560,32,16,12270,29.608068460,181.325881738,0,284103171,284103562
mat_order_control,3,mat_i1,4,0,0,640,1,2560,32,16,12160,29.639226974,181.135261212,0,284103859,284104234
mat_order_control,4,mat_i1,4,0,0,640,1,2560,32,16,12170,29.367707477,182.809949470,0,284104531,284104921
mat_order_control,5,order_mat,4,1,0,640,1,2560,32,16,11480,29.519337979,181.870918779,0,284105203,284105562
mat_order_control,6,order_mat,4,1,0,640,1,2560,32,16,11860,29.593760540,181.413548738,0,284105875,284106234
mat_order_control,7,mat_i1,4,0,0,640,1,2560,32,16,12350,29.379595142,182.735980333,0,284106546,284106921
mat_stride17,0,order_mat,4,1,0,640,1,2560,32,16,12330,29.731062449,180.575757397,0,284107218,284107609
mat_stride17,1,order_mat,4,17,0,640,1,2560,32,16,9150,40.691256831,131.937657820,0,284107921,284108312
mat_stride17,2,order_mat,4,17,0,640,1,2560,32,16,9390,40.736847710,131.789999024,0,284108609,284109015
mat_stride17,3,order_mat,4,1,0,640,1,2560,32,16,12090,29.351943755,182.908129178,0,284109312,284109687
mat_stride17,4,order_mat,4,1,0,640,1,2560,32,16,12700,29.375039370,182.764320836,0,284110000,284110390
mat_stride17,5,order_mat,4,17,0,640,1,2560,32,16,9370,40.728281750,131.817717058,0,284110687,284111093
mat_stride17,6,order_mat,4,17,0,640,1,2560,32,16,9660,40.719461698,131.846269478,0,284111406,284111812
mat_stride17,7,order_mat,4,1,0,640,1,2560,32,16,13590,29.366740250,182.815970525,0,284112125,284112546
mat_stride63,0,order_mat,4,1,0,640,1,2560,32,16,13230,29.394784580,182.641553480,0,284112843,284113250
mat_stride63,1,order_mat,4,63,0,640,1,2560,32,16,9660,40.550828157,132.394561689,0,284113562,284113984
mat_stride63,2,order_mat,4,63,0,640,1,2560,32,16,9470,40.647307286,132.080314256,0,284114281,284114687
mat_stride63,3,order_mat,4,1,0,640,1,2560,32,16,13140,29.355403349,182.886573087,0,284114984,284115406
mat_stride63,4,order_mat,4,1,0,640,1,2560,32,16,12880,29.347127329,182.938147907,0,284115703,284116093
mat_stride63,5,order_mat,4,63,0,640,1,2560,32,16,9220,40.632863341,132.127265435,0,284116406,284116796
mat_stride63,6,order_mat,4,63,0,640,1,2560,32,16,9120,40.639912281,132.104348132,0,284117093,284117484
mat_stride63,7,order_mat,4,1,0,640,1,2560,32,16,12550,29.273625498,183.397479085,0,284117781,284118171
mat_stride129,0,order_mat,4,1,0,640,1,2560,32,16,12640,29.372943038,182.777364633,0,284118468,284118859
mat_stride129,1,order_mat,4,129,0,640,1,2560,32,16,8870,40.689627959,131.942939497,0,284119171,284119546
mat_stride129,2,order_mat,4,129,0,640,1,2560,32,16,9110,40.792206367,131.611148261,0,284119843,284120250
mat_stride129,3,order_mat,4,1,0,640,1,2560,32,16,13290,29.522498119,181.851450998,0,284120546,284120953
mat_stride129,4,order_mat,4,1,0,640,1,2560,32,16,12780,29.456494523,182.258928192,0,284121265,284121656
mat_stride129,5,order_mat,4,129,0,640,1,2560,32,16,9170,40.662595420,132.030655313,0,284121953,284122359
mat_stride129,6,order_mat,4,129,0,640,1,2560,32,16,9430,40.720678685,131.842329091,0,284122656,284123062
mat_stride129,7,order_mat,4,1,0,640,1,2560,32,16,13000,29.442538462,182.345320768,0,284123359,284123765
load_order_control,0,load_i1,4,0,0,640,1,2560,32,16,10000,37.419200000,0.000000000,0,284124078,284124468
load_order_control,1,order_load,4,1,0,640,1,2560,32,16,9860,37.724239351,0.000000000,0,284124765,284125156
load_order_control,2,order_load,4,1,0,640,1,2560,32,16,10030,37.619541376,0.000000000,0,284125468,284125859
load_order_control,3,load_i1,4,0,0,640,1,2560,32,16,10230,37.367741935,0.000000000,0,284126171,284126578
load_order_control,4,load_i1,4,0,0,640,1,2560,32,16,10180,37.592436149,0.000000000,0,284126875,284127281
load_order_control,5,order_load,4,1,0,640,1,2560,32,16,10030,37.811166500,0.000000000,0,284127578,284127984
load_order_control,6,order_load,4,1,0,640,1,2560,32,16,10020,37.721157685,0.000000000,0,284128281,284128687
load_order_control,7,load_i1,4,0,0,640,1,2560,32,16,9710,37.370442842,0.000000000,0,284128984,284129375
load_stride17,0,order_load,4,1,0,640,1,2560,32,16,9660,37.704968944,0.000000000,0,284129671,284130062
load_stride17,1,order_load,4,17,0,640,1,2560,32,16,9720,38.693930041,0.000000000,0,284130359,284130750
load_stride17,2,order_load,4,17,0,640,1,2560,32,16,9350,38.689839572,0.000000000,0,284131062,284131437
load_stride17,3,order_load,4,1,0,640,1,2560,32,16,10180,37.631434185,0.000000000,0,284131750,284132140
load_stride17,4,order_load,4,1,0,640,1,2560,32,16,9940,37.662877264,0.000000000,0,284132453,284132843
load_stride17,5,order_load,4,17,0,640,1,2560,32,16,9760,38.765676230,0.000000000,0,284133156,284133546
load_stride17,6,order_load,4,17,0,640,1,2560,32,16,9950,38.794371859,0.000000000,0,284133859,284134265
load_stride17,7,order_load,4,1,0,640,1,2560,32,16,10400,37.665192308,0.000000000,0,284134562,284134984
load_stride63,0,order_load,4,1,0,640,1,2560,32,16,10070,37.688679245,0.000000000,0,284135281,284135687
load_stride63,1,order_load,4,63,0,640,1,2560,32,16,9510,39.184437434,0.000000000,0,284135984,284136390
load_stride63,2,order_load,4,63,0,640,1,2560,32,16,9300,39.140000000,0.000000000,0,284136687,284137078
load_stride63,3,order_load,4,1,0,640,1,2560,32,16,10220,37.749804305,0.000000000,0,284137375,284137781
load_stride63,4,order_load,4,1,0,640,1,2560,32,16,10100,37.810000000,0.000000000,0,284138093,284138484
load_stride63,5,order_load,4,63,0,640,1,2560,32,16,9560,39.041317992,0.000000000,0,284138796,284139187
load_stride63,6,order_load,4,63,0,640,1,2560,32,16,9940,39.112977867,0.000000000,0,284139500,284139906
load_stride63,7,order_load,4,1,0,640,1,2560,32,16,9620,37.680769231,0.000000000,0,284140203,284140593
load_stride129,0,order_load,4,1,0,640,1,2560,32,16,10280,37.819066148,0.000000000,0,284140890,284141312
load_stride129,1,order_load,4,129,0,640,1,2560,32,16,10020,38.030738523,0.000000000,0,284141609,284142015
load_stride129,2,order_load,4,129,0,640,1,2560,32,16,10170,37.899213373,0.000000000,0,284142312,284142718
load_stride129,3,order_load,4,1,0,640,1,2560,32,16,10310,37.800484966,0.000000000,0,284143031,284143437
load_stride129,4,order_load,4,1,0,640,1,2560,32,16,10210,37.764250735,0.000000000,0,284143750,284144156
load_stride129,5,order_load,4,129,0,640,1,2560,32,16,9960,37.954919679,0.000000000,0,284144453,284144859
load_stride129,6,order_load,4,129,0,640,1,2560,32,16,9960,37.811947791,0.000000000,0,284145156,284145562
load_stride129,7,order_load,4,1,0,640,1,2560,32,16,9960,37.734538153,0.000000000,0,284145859,284146265
