test,slot,chunk,launches,mean_us,start_ms,end_ms
mat_uniform_i1,0,0,1205,31.590871369,283662000,283662046
mat_uniform_i1,0,1,1205,31.619087137,283662046,283662078
mat_uniform_i1,0,2,1205,31.775933610,283662093,283662125
mat_uniform_i1,0,3,1205,31.547717842,283662125,283662171
mat_uniform_i1,0,4,1205,31.471369295,283662171,283662203
mat_uniform_i1,0,5,1205,31.540248963,283662203,283662250
mat_uniform_i1,0,6,1205,31.524481328,283662250,283662281
mat_uniform_i1,0,7,1205,31.604149378,283662281,283662328
mat_uniform_i1,0,8,1205,31.750207469,283662328,283662359
mat_uniform_i1,0,9,1205,31.588381743,283662375,283662406
mat_uniform_i1,1,0,1279,31.236903831,283662718,283662750
mat_uniform_i1,1,1,1279,31.670836591,283662765,283662796
mat_uniform_i1,1,2,1279,31.745113370,283662796,283662843
mat_uniform_i1,1,3,1279,31.683346364,283662843,283662890
mat_uniform_i1,1,4,1279,31.566067240,283662890,283662921
mat_uniform_i1,1,5,1279,31.503518374,283662921,283662968
mat_uniform_i1,1,6,1279,31.574667709,283662968,283663015
mat_uniform_i1,1,7,1279,31.569976544,283663015,283663046
mat_uniform_i1,1,8,1279,31.390148554,283663062,283663093
mat_uniform_i1,1,9,1279,31.272869429,283663093,283663140
mat_uniform_i1,2,0,1207,31.863297432,283663437,283663484
mat_uniform_i1,2,1,1207,31.567522784,283663484,283663515
mat_uniform_i1,2,2,1207,31.217895609,283663515,283663562
mat_uniform_i1,2,3,1207,31.070422535,283663562,283663593
mat_uniform_i1,2,4,1207,30.809444905,283663609,283663640
mat_uniform_i1,2,5,1207,31.340513670,283663640,283663687
mat_uniform_i1,2,6,1207,30.856669428,283663687,283663718
mat_uniform_i1,2,7,1207,30.537696769,283663718,283663765
mat_uniform_i1,2,8,1207,29.836785418,283663765,283663796
mat_uniform_i1,2,9,1207,29.680198840,283663796,283663828
mat_uniform_i1,3,0,1269,29.402679275,283664140,283664171
mat_uniform_i1,3,1,1269,29.657998424,283664171,283664218
mat_uniform_i1,3,2,1269,29.805358550,283664218,283664250
mat_uniform_i1,3,3,1269,29.630417652,283664250,283664296
mat_uniform_i1,3,4,1269,30.069345942,283664296,283664328
mat_uniform_i1,3,5,1269,29.822695035,283664343,283664375
mat_uniform_i1,3,6,1269,29.653270292,283664375,283664421
mat_uniform_i1,3,7,1269,29.617809299,283664421,283664453
mat_uniform_i1,3,8,1269,30.048069346,283664453,283664500
mat_uniform_i1,3,9,1269,29.847123719,283664500,283664531
mat_uniform_i1,4,0,1270,29.927559055,283664843,283664875
mat_uniform_i1,4,1,1270,29.806299213,283664875,283664921
mat_uniform_i1,4,2,1270,29.991338583,283664921,283664953
mat_uniform_i1,4,3,1270,29.588188976,283664953,283665000
mat_uniform_i1,4,4,1270,29.718110236,283665000,283665031
mat_uniform_i1,4,5,1270,30.077165354,283665046,283665078
mat_uniform_i1,4,6,1270,30.044881890,283665078,283665125
mat_uniform_i1,4,7,1270,29.822047244,283665125,283665156
mat_uniform_i1,4,8,1270,29.376377953,283665156,283665203
mat_uniform_i1,4,9,1270,29.555118110,283665203,283665234
mat_uniform_i1,5,0,1214,29.576606260,283665531,283665578
mat_uniform_i1,5,1,1214,29.741350906,283665578,283665609
mat_uniform_i1,5,2,1214,29.685337727,283665609,283665656
mat_uniform_i1,5,3,1214,29.314662273,283665656,283665687
