test,slot,kernel,chains,astride,bstride,tokens,waves,groups,threads,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
mat_uniform_i1,0,mat_i1,4,0,0,640,1,2560,32,16,12050,31.601244813,169.889165814,0,283662000,283662406
mat_uniform_i1,1,mat_ui1,4,0,0,640,1,2560,32,16,12790,31.521344801,170.319799297,0,283662718,283663140
mat_uniform_i1,2,mat_ui1,4,0,0,640,1,2560,32,16,12070,30.878044739,173.868169613,0,283663437,283663828
mat_uniform_i1,3,mat_i1,4,0,0,640,1,2560,32,16,12690,29.755476753,180.427595380,0,283664140,283664531
mat_uniform_i1,4,mat_i1,4,0,0,640,1,2560,32,16,12700,29.790708661,180.214213130,0,283664843,283665234
mat_uniform_i1,5,mat_ui1,4,0,0,640,1,2560,32,16,12140,29.562026359,181.608292164,0,283665531,283665921
mat_uniform_i1,6,mat_ui1,4,0,0,640,1,2560,32,16,12420,29.386634461,182.692207480,0,283666218,283666609
mat_uniform_i1,7,mat_i1,4,0,0,640,1,2560,32,16,12240,29.432924837,182.404879903,0,283666906,283667281
mat_uniform_i2,0,mat_i2,4,0,0,640,2,1280,64,16,9010,42.934073252,125.045417622,0,283667593,283668000
mat_uniform_i2,1,mat_ui2,4,0,0,640,2,1280,64,16,9120,42.856140351,125.272809825,0,283668296,283668718
mat_uniform_i2,2,mat_ui2,4,0,0,640,2,1280,64,16,9160,42.874890830,125.218024259,0,283669031,283669437
mat_uniform_i2,3,mat_i2,4,0,0,640,2,1280,64,16,8860,42.830586907,125.347549675,0,283669750,283670140
mat_uniform_i2,4,mat_i2,4,0,0,640,2,1280,64,16,9190,42.940043526,125.028031627,0,283670453,283670875
mat_uniform_i2,5,mat_ui2,4,0,0,640,2,1280,64,16,8850,42.892203390,125.167482566,0,283671171,283671578
mat_uniform_i2,6,mat_ui2,4,0,0,640,2,1280,64,16,9140,42.781072210,125.492626591,0,283671875,283672296
mat_uniform_i2,7,mat_i2,4,0,0,640,2,1280,64,16,9180,42.939106754,125.030759275,0,283672609,283673015
mat_uniform_m2,0,mat_m2,4,0,0,640,2,1280,64,16,8620,43.566357309,123.230617652,0,283673328,283673718
mat_uniform_m2,1,mat_um2,4,0,0,640,2,1280,64,16,8510,44.437250294,120.815511412,0,283674031,283674421
mat_uniform_m2,2,mat_um2,4,0,0,640,2,1280,64,16,8770,44.557810718,120.488619917,0,283674734,283675140
mat_uniform_m2,3,mat_m2,4,0,0,640,2,1280,64,16,8750,44.667314286,120.193237625,0,283675453,283675875
mat_uniform_m2,4,mat_m2,4,0,0,640,2,1280,64,16,8730,44.728407789,120.029068446,0,283676171,283676593
mat_uniform_m2,5,mat_um2,4,0,0,640,2,1280,64,16,8460,44.543498818,120.527333112,0,283676890,283677296
mat_uniform_m2,6,mat_um2,4,0,0,640,2,1280,64,16,8530,44.513950762,120.607338331,0,283677593,283678000
mat_uniform_m2,7,mat_m2,4,0,0,640,2,1280,64,16,8890,44.497300337,120.652468336,0,283678312,283678718
load_uniform_i1,0,load_i1,4,0,0,640,1,2560,32,16,10110,37.459446093,0.000000000,0,283679031,283679421
load_uniform_i1,1,load_ui1,4,0,0,640,1,2560,32,16,9900,37.541515152,0.000000000,0,283679734,283680125
load_uniform_i1,2,load_ui1,4,0,0,640,1,2560,32,16,9710,37.689289392,0.000000000,0,283680421,283680812
load_uniform_i1,3,load_i1,4,0,0,640,1,2560,32,16,9860,37.324036511,0.000000000,0,283681109,283681500
load_uniform_i1,4,load_i1,4,0,0,640,1,2560,32,16,10010,37.568331668,0.000000000,0,283681796,283682203
load_uniform_i1,5,load_ui1,4,0,0,640,1,2560,32,16,9930,37.509164149,0.000000000,0,283682500,283682890
load_uniform_i1,6,load_ui1,4,0,0,640,1,2560,32,16,10550,37.496682464,0.000000000,0,283683203,283683625
load_uniform_i1,7,load_i1,4,0,0,640,1,2560,32,16,10250,37.427902439,0.000000000,0,283683921,283684328
load_uniform_i2,0,load_i2,4,0,0,640,2,1280,64,16,9450,39.162539683,0.000000000,0,283684625,283685015
load_uniform_i2,1,load_ui2,4,0,0,640,2,1280,64,16,9740,39.333264887,0.000000000,0,283685328,283685734
load_uniform_i2,2,load_ui2,4,0,0,640,2,1280,64,16,9610,39.303537981,0.000000000,0,283686031,283686437
load_uniform_i2,3,load_i2,4,0,0,640,2,1280,64,16,9660,39.363457557,0.000000000,0,283686734,283687140
load_uniform_i2,4,load_i2,4,0,0,640,2,1280,64,16,9680,39.266735537,0.000000000,0,283687437,283687843
load_uniform_i2,5,load_ui2,4,0,0,640,2,1280,64,16,9620,39.279417879,0.000000000,0,283688156,283688546
load_uniform_i2,6,load_ui2,4,0,0,640,2,1280,64,16,9500,39.404421053,0.000000000,0,283688843,283689250
load_uniform_i2,7,load_i2,4,0,0,640,2,1280,64,16,10040,39.529282869,0.000000000,0,283689562,283689968
load_uniform_m2,0,load_m2,4,0,0,640,2,1280,64,16,9180,40.874183007,0.000000000,0,283690281,283690671
load_uniform_m2,1,load_um2,4,0,0,640,2,1280,64,16,9110,40.967837541,0.000000000,0,283690984,283691375
load_uniform_m2,2,load_um2,4,0,0,640,2,1280,64,16,9370,40.911205977,0.000000000,0,283691671,283692078
load_uniform_m2,3,load_m2,4,0,0,640,2,1280,64,16,9120,40.953070175,0.000000000,0,283692390,283692781
load_uniform_m2,4,load_m2,4,0,0,640,2,1280,64,16,9120,40.916666667,0.000000000,0,283693078,283693484
load_uniform_m2,5,load_um2,4,0,0,640,2,1280,64,16,9750,40.893128205,0.000000000,0,283693781,283694203
load_uniform_m2,6,load_um2,4,0,0,640,2,1280,64,16,9210,40.864603692,0.000000000,0,283694515,283694906
load_uniform_m2,7,load_m2,4,0,0,640,2,1280,64,16,9220,40.947071584,0.000000000,0,283695218,283695609
