test,slot,chunk,launches,mean_us,start_ms,end_ms
calibrate_64,0,0,807,48.687732342,276940953,276941000
calibrate_64,0,1,807,48.759603470,276941000,276941031
calibrate_64,0,2,807,48.627013631,276941031,276941078
calibrate_64,0,3,807,48.771995043,276941078,276941125
calibrate_64,0,4,807,48.806691450,276941125,276941156
calibrate_64,0,5,807,48.708798017,276941156,276941203
calibrate_64,0,6,807,48.531598513,276941203,276941250
calibrate_64,0,7,807,48.719950434,276941250,276941281
calibrate_64,0,8,807,48.623296159,276941281,276941328
calibrate_64,0,9,807,48.494423792,276941328,276941359
calibrate_64,1,0,790,48.392405063,276941671,276941718
calibrate_64,1,1,790,47.888607595,276941718,276941750
calibrate_64,1,2,790,48.286075949,276941750,276941796
calibrate_64,1,3,790,48.344303797,276941796,276941828
calibrate_64,1,4,790,47.513924051,276941843,276941875
calibrate_64,1,5,790,48.274683544,276941875,276941906
calibrate_64,1,6,790,48.163291139,276941921,276941953
calibrate_64,1,7,790,48.164556962,276941953,276942000
calibrate_64,1,8,790,48.332911392,276942000,276942031
calibrate_64,1,9,790,47.955696203,276942031,276942078
calibrate_64,2,0,786,48.284987277,276942375,276942421
calibrate_64,2,1,786,48.223918575,276942421,276942453
calibrate_64,2,2,786,48.030534351,276942468,276942500
calibrate_64,2,3,786,47.964376590,276942500,276942546
calibrate_64,2,4,786,48.307888041,276942546,276942578
calibrate_64,2,5,786,48.085241730,276942578,276942625
calibrate_64,2,6,786,47.988549618,276942625,276942656
calibrate_64,2,7,786,48.526717557,276942656,276942703
calibrate_64,2,8,786,48.119592875,276942703,276942734
calibrate_64,2,9,786,48.540712468,276942734,276942781
calibrate_64,3,0,812,48.298029557,276943093,276943125
calibrate_64,3,1,812,47.677339901,276943125,276943171
calibrate_64,3,2,812,48.535714286,276943171,276943218
calibrate_64,3,3,812,48.250000000,276943218,276943250
calibrate_64,3,4,812,48.560344828,276943250,276943296
calibrate_64,3,5,812,48.237684729,276943296,276943343
calibrate_64,3,6,812,48.131773399,276943343,276943375
calibrate_64,3,7,812,48.384236453,276943375,276943421
calibrate_64,3,8,812,48.586206897,276943421,276943468
