test,slot,kernel,chains,astride,bstride,pitch,mix,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
calibrate_64,0,pitched4,4,1023,63,16384,0,640,16,8070,48.673110285,110.301336581,0,276940953,276941359
calibrate_64,1,xor4,4,1023,63,16384,0,640,16,7900,48.131645570,111.542189270,0,276941671,276942078
calibrate_64,2,xor4,4,1023,63,16384,0,640,16,7860,48.207251908,111.367250931,0,276942375,276942781
calibrate_64,3,pitched4,4,1023,63,16384,0,640,16,8120,48.317487685,111.113167866,0,276943093,276943500
calibrate_64,4,pitched4,4,1023,63,16384,0,640,16,7940,48.234382872,111.304608878,0,276943812,276944218
calibrate_64,5,xor4,4,1023,63,16384,0,640,16,8350,48.292694611,111.170212457,0,276944515,276944953
calibrate_64,6,xor4,4,1023,63,16384,0,640,16,7780,48.304241645,111.143637435,0,276945250,276945656
calibrate_64,7,pitched4,4,1023,63,16384,0,640,16,7990,48.231163955,111.312037276,0,276945953,276946359
span64_xor256,0,xor4,4,1023,63,16384,0,640,16,7920,48.189898990,111.407353668,0,276946671,276947078
span64_xor256,1,xor4,4,1023,63,16384,256,640,16,7860,48.273664122,111.214038081,0,276947375,276947781
span64_xor256,2,xor4,4,1023,63,16384,256,640,16,7870,48.278653113,111.202545511,0,276948093,276948484
span64_xor256,3,xor4,4,1023,63,16384,0,640,16,7930,48.357629256,111.020933048,0,276948796,276949203
span64_xor256,4,xor4,4,1023,63,16384,0,640,16,7920,48.221717172,111.333843647,0,276949500,276949906
span64_xor256,5,xor4,4,1023,63,16384,256,640,16,8330,48.129411765,111.547366219,0,276950218,276950640
span64_xor256,6,xor4,4,1023,63,16384,256,640,16,8160,48.317524510,111.113083182,0,276950953,276951375
span64_xor256,7,xor4,4,1023,63,16384,0,640,16,7920,48.235606061,111.301786345,0,276951671,276952078
span64_xor512,0,xor4,4,1023,63,16384,0,640,16,7830,48.146871009,111.506916389,0,276952390,276952781
span64_xor512,1,xor4,4,1023,63,16384,512,640,16,7870,48.318932656,111.109845043,0,276953093,276953500
span64_xor512,2,xor4,4,1023,63,16384,512,640,16,8090,48.190482077,111.406005681,0,276953796,276954218
span64_xor512,3,xor4,4,1023,63,16384,0,640,16,7790,48.178562259,111.433568547,0,276954515,276954921
span64_xor512,4,xor4,4,1023,63,16384,0,640,16,7870,48.172045743,111.448642821,0,276955218,276955625
span64_xor512,5,xor4,4,1023,63,16384,512,640,16,7950,48.423647799,110.869572287,0,276955921,276956328
span64_xor512,6,xor4,4,1023,63,16384,512,640,16,7940,48.251259446,111.265678485,0,276956640,276957046
span64_xor512,7,xor4,4,1023,63,16384,0,640,16,8310,48.234536703,111.304253902,0,276957359,276957781
span64_xor768,0,xor4,4,1023,63,16384,0,640,16,8120,48.284729064,111.188552241,0,276958093,276958500
span64_xor768,1,xor4,4,1023,63,16384,768,640,16,7940,48.407682620,110.906137817,0,276958812,276959218
span64_xor768,2,xor4,4,1023,63,16384,768,640,16,8180,48.432885086,110.848426859,0,276959515,276959937
span64_xor768,3,xor4,4,1023,63,16384,0,640,16,7860,48.343765903,111.052770087,0,276960250,276960640
span64_xor768,4,xor4,4,1023,63,16384,0,640,16,7920,48.315530303,111.117669336,0,276960953,276961359
span64_xor768,5,xor4,4,1023,63,16384,768,640,16,7670,48.371707953,110.988620150,0,276961656,276962046
span64_xor768,6,xor4,4,1023,63,16384,768,640,16,7850,48.240254777,111.291060647,0,276962359,276962765
span64_xor768,7,xor4,4,1023,63,16384,0,640,16,8200,48.179512195,111.431371456,0,276963062,276963484
span64_xor1024,0,xor4,4,1023,63,16384,0,640,16,7920,48.321085859,111.104893953,0,276963796,276964203
span64_xor1024,1,xor4,4,1023,63,16384,1024,640,16,15270,25.317485265,212.055386377,0,276964500,276964906
span64_xor1024,2,xor4,4,1023,63,16384,1024,640,16,14560,25.350343407,211.780528330,0,276965203,276965593
span64_xor1024,3,xor4,4,1023,63,16384,0,640,16,8230,48.216403402,111.346113380,0,276965906,276966328
