test,slot,chunk,launches,mean_us,start_ms,end_ms
calibrate_64,0,0,777,49.315315315,275397265,275397312
calibrate_64,0,1,777,49.205920206,275397312,275397343
calibrate_64,0,2,777,49.558558559,275397359,275397390
calibrate_64,0,3,777,49.135135135,275397390,275397437
calibrate_64,0,4,777,49.091377091,275397437,275397468
calibrate_64,0,5,777,48.752895753,275397468,275397515
calibrate_64,0,6,777,49.203346203,275397515,275397546
calibrate_64,0,7,777,49.509652510,275397546,275397593
calibrate_64,0,8,777,49.059202059,275397593,275397640
calibrate_64,0,9,777,49.248391248,275397640,275397671
calibrate_64,1,0,773,48.300129366,275397984,275398015
calibrate_64,1,1,773,48.112548512,275398015,275398062
calibrate_64,1,2,773,48.592496766,275398062,275398093
calibrate_64,1,3,773,48.113842173,275398093,275398140
calibrate_64,1,4,773,48.477360931,275398140,275398171
calibrate_64,1,5,773,48.413971539,275398171,275398218
calibrate_64,1,6,773,48.534282018,275398218,275398250
calibrate_64,1,7,773,48.148771022,275398250,275398296
calibrate_64,1,8,773,48.445019405,275398296,275398328
calibrate_64,1,9,773,48.247089263,275398343,275398375
calibrate_64,2,0,800,48.303750000,275398687,275398718
calibrate_64,2,1,800,47.822500000,275398718,275398765
calibrate_64,2,2,800,48.295000000,275398765,275398796
calibrate_64,2,3,800,48.138750000,275398796,275398843
calibrate_64,2,4,800,48.356250000,275398843,275398890
calibrate_64,2,5,800,48.248750000,275398890,275398921
calibrate_64,2,6,800,48.303750000,275398921,275398968
calibrate_64,2,7,800,48.146250000,275398968,275399000
calibrate_64,2,8,800,48.050000000,275399015,275399046
calibrate_64,2,9,800,48.082500000,275399046,275399093
calibrate_64,3,0,780,48.851282051,275399390,275399437
calibrate_64,3,1,780,48.473076923,275399437,275399468
calibrate_64,3,2,780,48.873076923,275399468,275399515
calibrate_64,3,3,780,48.934615385,275399515,275399546
calibrate_64,3,4,780,48.933333333,275399562,275399593
calibrate_64,3,5,780,48.717948718,275399593,275399640
calibrate_64,3,6,780,48.887179487,275399640,275399671
calibrate_64,3,7,780,49.070512821,275399671,275399718
calibrate_64,3,8,780,48.843589744,275399718,275399750
calibrate_64,3,9,780,48.694871795,275399750,275399796
calibrate_64,4,0,780,48.811538462,275400109,275400140
calibrate_64,4,1,780,48.876923077,275400140,275400187
calibrate_64,4,2,780,48.933333333,275400187,275400218
calibrate_64,4,3,780,48.805128205,275400218,275400265
calibrate_64,4,4,780,48.942307692,275400265,275400296
calibrate_64,4,5,780,48.664102564,275400312,275400343
calibrate_64,4,6,780,48.835897436,275400343,275400390
calibrate_64,4,7,780,49.030769231,275400390,275400421
calibrate_64,4,8,780,48.761538462,275400421,275400468
calibrate_64,4,9,780,48.817948718,275400468,275400500
calibrate_64,5,0,793,48.424968474,275400812,275400859
calibrate_64,5,1,793,48.511979823,275400859,275400890
calibrate_64,5,2,793,48.417402270,275400890,275400937
calibrate_64,5,3,793,47.871374527,275400937,275400968
calibrate_64,5,4,793,48.240857503,275400968,275401015
calibrate_64,5,5,793,48.481715006,275401015,275401046
calibrate_64,5,6,793,48.278688525,275401062,275401093
calibrate_64,5,7,793,48.417402270,275401093,275401140
calibrate_64,5,8,793,48.373266078,275401140,275401171
calibrate_64,5,9,793,48.373266078,275401171,275401218
calibrate_64,6,0,825,48.477575758,275401531,275401562
calibrate_64,6,1,825,48.037575758,275401578,275401609
calibrate_64,6,2,825,48.539393939,275401609,275401656
calibrate_64,6,3,825,48.490909091,275401656,275401687
calibrate_64,6,4,825,48.529696970,275401703,275401734
calibrate_64,6,5,825,48.192727273,275401734,275401781
calibrate_64,6,6,825,48.307878788,275401781,275401828
calibrate_64,6,7,825,48.272727273,275401828,275401859
calibrate_64,6,8,825,48.500606061,275401859,275401906
calibrate_64,6,9,825,48.259393939,275401906,275401953
calibrate_64,7,0,781,48.910371319,275402250,275402296
calibrate_64,7,1,781,48.215108835,275402296,275402328
calibrate_64,7,2,781,48.959026889,275402328,275402375
calibrate_64,7,3,781,48.927016645,275402375,275402421
calibrate_64,7,4,781,48.892445583,275402421,275402453
calibrate_64,7,5,781,48.139564661,275402453,275402500
calibrate_64,7,6,781,48.856594110,275402500,275402531
calibrate_64,7,7,781,48.751600512,275402531,275402578
calibrate_64,7,8,781,48.653008963,275402578,275402609
calibrate_64,7,9,781,49.028169014,275402609,275402656
span64_pad64,0,0,792,48.553030303,275402968,275403000
span64_pad64,0,1,792,48.290404040,275403000,275403046
span64_pad64,0,2,792,48.511363636,275403046,275403078
span64_pad64,0,3,792,48.390151515,275403078,275403125
span64_pad64,0,4,792,48.537878788,275403125,275403171
span64_pad64,0,5,792,48.483585859,275403171,275403203
span64_pad64,0,6,792,48.093434343,275403203,275403250
span64_pad64,0,7,792,48.136363636,275403250,275403281
span64_pad64,0,8,792,48.507575758,275403281,275403328
span64_pad64,0,9,792,47.652777778,275403328,275403359
span64_pad64,1,0,1666,22.784513806,275403671,275403703
span64_pad64,1,1,1666,23.267106843,275403703,275403750
span64_pad64,1,2,1666,23.300120048,275403750,275403781
span64_pad64,1,3,1666,23.331932773,275403796,275403828
span64_pad64,1,4,1666,23.352941176,275403828,275403875
span64_pad64,1,5,1666,23.467587035,275403875,275403906
span64_pad64,1,6,1666,23.240096038,275403906,275403953
span64_pad64,1,7,1666,23.273109244,275403953,275404000
span64_pad64,1,8,1666,23.352340936,275404000,275404031
span64_pad64,1,9,1666,23.261104442,275404031,275404078
span64_pad64,2,0,1687,22.776526378,275404375,275404421
span64_pad64,2,1,1687,23.438648488,275404421,275404453
span64_pad64,2,2,1687,23.327800830,275404453,275404500
span64_pad64,2,3,1687,23.379964434,275404500,275404546
span64_pad64,2,4,1687,23.306461174,275404546,275404578
span64_pad64,2,5,1687,23.296976882,275404578,275404625
span64_pad64,2,6,1687,23.348547718,275404625,275404671
span64_pad64,2,7,1687,23.328393598,275404671,275404703
span64_pad64,2,8,1687,23.328986366,275404703,275404750
span64_pad64,2,9,1687,23.268524007,275404750,275404796
span64_pad64,3,0,792,48.662878788,275405093,275405140
span64_pad64,3,1,792,48.185606061,275405140,275405171
span64_pad64,3,2,792,48.417929293,275405171,275405218
span64_pad64,3,3,792,48.412878788,275405218,275405265
span64_pad64,3,4,792,47.574494949,275405265,275405296
span64_pad64,3,5,792,48.296717172,275405296,275405343
span64_pad64,3,6,792,48.236111111,275405343,275405375
span64_pad64,3,7,792,48.223484848,275405375,275405421
span64_pad64,3,8,792,48.419191919,275405421,275405453
span64_pad64,3,9,792,48.369949495,275405468,275405500
span64_pad64,4,0,834,48.233812950,275405812,275405859
span64_pad64,4,1,834,48.115107914,275405859,275405890
span64_pad64,4,2,834,48.357314149,275405890,275405937
span64_pad64,4,3,834,47.267386091,275405937,275405984
span64_pad64,4,4,834,48.424460432,275405984,275406015
span64_pad64,4,5,834,48.274580336,275406031,275406062
span64_pad64,4,6,834,48.347721823,275406062,275406109
span64_pad64,4,7,834,48.208633094,275406109,275406156
span64_pad64,4,8,834,47.761390887,275406156,275406187
span64_pad64,4,9,834,48.039568345,275406187,275406234
span64_pad64,5,0,1667,22.949010198,275406531,275406578
span64_pad64,5,1,1667,23.262147570,275406578,275406609
span64_pad64,5,2,1667,23.283143371,275406609,275406656
span64_pad64,5,3,1667,23.335332933,275406656,275406703
span64_pad64,5,4,1667,23.372525495,275406703,275406734
span64_pad64,5,5,1667,23.269946011,275406734,275406781
span64_pad64,5,6,1667,23.391121776,275406781,275406812
span64_pad64,5,7,1667,23.333533293,275406828,275406859
span64_pad64,5,8,1667,23.267546491,275406859,275406906
span64_pad64,5,9,1667,23.368326335,275406906,275406937
span64_pad64,6,0,1657,22.887145444,275407250,275407281
span64_pad64,6,1,1657,23.354254677,275407281,275407328
span64_pad64,6,2,1657,23.271575136,275407328,275407359
span64_pad64,6,3,1657,23.324079662,275407359,275407406
span64_pad64,6,4,1657,23.369945685,275407406,275407437
span64_pad64,6,5,1657,23.366928183,275407453,275407484
span64_pad64,6,6,1657,23.362100181,275407484,275407531
span64_pad64,6,7,1657,23.245624623,275407531,275407562
span64_pad64,6,8,1657,23.337960169,275407562,275407609
span64_pad64,6,9,1657,23.327700664,275407609,275407656
span64_pad64,7,0,774,48.282945736,275407953,275408000
span64_pad64,7,1,774,48.405684755,275408000,275408031
span64_pad64,7,2,774,48.692506460,275408031,275408078
span64_pad64,7,3,774,47.577519380,275408078,275408109
span64_pad64,7,4,774,48.288113695,275408109,275408156
span64_pad64,7,5,774,48.452196382,275408156,275408187
span64_pad64,7,6,774,48.308785530,275408187,275408234
span64_pad64,7,7,774,48.669250646,275408234,275408265
span64_pad64,7,8,774,48.131782946,275408265,275408312
span64_pad64,7,9,774,46.263565891,275408312,275408343
span64_pad128,0,0,796,48.163316583,275408656,275408687
span64_pad128,0,1,796,48.136934673,275408703,275408734
span64_pad128,0,2,796,47.741206030,275408734,275408781
span64_pad128,0,3,796,48.201005025,275408781,275408812
span64_pad128,0,4,796,48.293969849,275408812,275408859
span64_pad128,0,5,796,48.239949749,275408859,275408890
span64_pad128,0,6,796,48.261306533,275408906,275408937
span64_pad128,0,7,796,47.998743719,275408937,275408984
span64_pad128,0,8,796,48.202261307,275408984,275409015
span64_pad128,0,9,796,48.008793970,275409015,275409062
span64_pad128,1,0,1739,21.821736630,275409359,275409406
span64_pad128,1,1,1739,22.449108683,275409406,275409437
span64_pad128,1,2,1739,22.499137435,275409437,275409484
span64_pad128,1,3,1739,22.573893042,275409484,275409515
span64_pad128,1,4,1739,22.504887867,275409531,275409562
span64_pad128,1,5,1739,22.537090282,275409562,275409609
span64_pad128,1,6,1739,22.637147786,275409609,275409640
span64_pad128,1,7,1739,22.573317999,275409656,275409687
