test,slot,kernel,chains,astride,bstride,pitch,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
calibrate_64,0,masked4,4,1023,63,16384,640,16,7770,49.207979408,109.102409499,0,275397265,275397671
calibrate_64,1,pitched4,4,1023,63,16384,640,16,7730,48.338551100,111.064750554,0,275397984,275398375
calibrate_64,2,pitched4,4,1023,63,16384,640,16,8000,48.174750000,111.442386727,0,275398687,275399093
calibrate_64,3,masked4,4,1023,63,16384,640,16,7800,48.827948718,109.951559731,0,275399390,275399796
calibrate_64,4,masked4,4,1023,63,16384,640,16,7800,48.847948718,109.906541849,0,275400093,275400500
calibrate_64,5,pitched4,4,1023,63,16384,640,16,7930,48.339092055,111.063507644,0,275400812,275401218
calibrate_64,6,pitched4,4,1023,63,16384,640,16,8250,48.360848485,111.013542736,0,275401531,275401953
calibrate_64,7,masked4,4,1023,63,16384,640,16,7810,48.733290653,110.165126304,0,275402250,275402656
span64_pad64,0,pitched4,4,1023,63,16384,640,16,7920,48.315656566,111.117378954,0,275402968,275403359
span64_pad64,1,pitched4,4,1023,63,16448,640,16,16660,23.263085234,230.782334586,0,275403671,275404078
span64_pad64,2,pitched4,4,1023,63,16448,640,16,16870,23.280082988,230.613830839,0,275404375,275404796
span64_pad64,3,pitched4,4,1023,63,16384,640,16,7920,48.279924242,111.199617734,0,275405093,275405500
span64_pad64,4,pitched4,4,1023,63,16384,640,16,8340,48.102997602,111.608618748,0,275405812,275406234
span64_pad64,5,pitched4,4,1023,63,16448,640,16,16670,23.283263347,230.582330316,0,275406531,275406937
span64_pad64,6,pitched4,4,1023,63,16448,640,16,16570,23.284731442,230.567792173,0,275407234,275407656
span64_pad64,7,pitched4,4,1023,63,16384,640,16,7740,48.107235142,111.598787670,0,275407953,275408343
span64_pad128,0,pitched4,4,1023,63,16384,640,16,7960,48.124748744,111.558174539,0,275408656,275409062
span64_pad128,1,pitched4,4,1023,63,16512,640,16,17390,22.463599770,238.995938985,0,275409359,275409765
span64_pad128,2,pitched4,4,1023,63,16512,640,16,17140,22.429521587,239.359056286,0,275410062,275410468
span64_pad128,3,pitched4,4,1023,63,16384,640,16,7860,48.204452926,111.373717449,0,275410781,275411187
span64_pad128,4,pitched4,4,1023,63,16384,640,16,7940,48.139672544,111.523590342,0,275411484,275411890
span64_pad128,5,pitched4,4,1023,63,16512,640,16,17240,22.476798144,238.855600590,0,275412187,275412593
span64_pad128,6,pitched4,4,1023,63,16512,640,16,16440,22.392518248,239.754593945,0,275412890,275413281
span64_pad128,7,pitched4,4,1023,63,16384,640,16,8210,48.308526188,111.133779970,0,275413593,275414015
span64_pad256,0,pitched4,4,1023,63,16384,640,16,7800,48.252564103,111.262670075,0,275414312,275414718
span64_pad256,1,pitched4,4,1023,63,16640,640,16,17500,22.245314286,241.341122496,0,275415015,275415421
span64_pad256,2,pitched4,4,1023,63,16640,640,16,17490,22.244539737,241.349525928,0,275415718,275416125
span64_pad256,3,pitched4,4,1023,63,16384,640,16,8130,48.202091021,111.379174768,0,275416437,275416859
span64_pad256,4,pitched4,4,1023,63,16384,640,16,7730,48.266882277,111.229664456,0,275417156,275417546
span64_pad256,5,pitched4,4,1023,63,16640,640,16,17500,22.252057143,241.267990889,0,275417859,275418265
span64_pad256,6,pitched4,4,1023,63,16640,640,16,17610,22.255763771,241.227808461,0,275418562,275418984
span64_pad256,7,pitched4,4,1023,63,16384,640,16,7900,48.237468354,111.297489341,0,275419281,275419687
span64_pad512,0,pitched4,4,1023,63,16384,640,16,8320,48.273677885,111.214006375,0,275420000,275420421
span64_pad512,1,pitched4,4,1023,63,16896,640,16,17730,22.137732657,242.513955846,0,275420718,275421140
span64_pad512,2,pitched4,4,1023,63,16896,640,16,17560,22.123291572,242.672257995,0,275421437,275421843
span64_pad512,3,pitched4,4,1023,63,16384,640,16,7950,48.393207547,110.939311364,0,275422156,275422562
span64_pad512,4,pitched4,4,1023,63,16384,640,16,7880,48.269543147,111.223532894,0,275422859,275423265
span64_pad512,5,pitched4,4,1023,63,16896,640,16,17870,22.124734191,242.656434810,0,275423562,275423984
span64_pad512,6,pitched4,4,1023,63,16896,640,16,17360,22.152880184,242.348131499,0,275424281,275424687
span64_pad512,7,pitched4,4,1023,63,16384,640,16,8050,48.313043478,111.123388913,0,275425000,275425406
span64_pad1024,0,pitched4,4,1023,63,16384,640,16,7880,48.241497462,111.288193826,0,275425703,275426109
span64_pad1024,1,pitched4,4,1023,63,17408,640,16,17110,22.198772648,241.847114939,0,275426406,275426812
span64_pad1024,2,pitched4,4,1023,63,17408,640,16,16920,22.182210402,242.027688978,0,275427109,275427500
span64_pad1024,3,pitched4,4,1023,63,16384,640,16,8100,48.407407407,110.906768355,0,275427812,275428218
span64_pad1024,4,pitched4,4,1023,63,16384,640,16,7880,48.210786802,111.359085303,0,275428531,275428937
span64_pad1024,5,pitched4,4,1023,63,17408,640,16,17700,22.287966102,240.879275188,0,275429234,275429640
