test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
layout64,0,model4,4,1023,1023,640,16,11910,35.173719563,152.634102581,0,279993968,279994406
layout64,1,pair64,4,0,0,640,16,10170,36.630875123,146.562404037,0,279994703,279995093
layout64,2,pair64,4,0,0,640,16,10420,36.788867562,145.932981245,0,279995406,279995812
layout64,3,model4,4,1023,1023,640,16,10630,35.578739417,150.896552492,0,279996109,279996515
layout64,4,model4,4,1023,1023,640,16,10750,35.689953488,150.426341176,0,279996812,279997218
layout64,5,pair64,4,0,0,640,16,10510,37.067078972,144.837663739,0,279997531,279997937
layout64,6,pair64,4,0,0,640,16,10620,37.067984934,144.834123828,0,279998250,279998656
layout64,7,model4,4,1023,1023,640,16,10850,35.041013825,153.212151533,0,279998968,279999359
width,0,pair64,4,0,0,640,16,10080,36.908730159,145.459057977,0,279999671,280000062
width,1,pair128,4,0,0,640,16,11560,31.807698962,168.786466648,0,280000359,280000750
width,2,pair128,4,0,0,640,16,10880,31.648897059,169.633371742,0,280001046,280001406
width,3,pair64,4,0,0,640,16,10540,36.926185958,145.390296362,0,280001718,280002125
width,4,pair64,4,0,0,640,16,10600,36.890943396,145.529190250,0,280002437,280002843
width,5,pair128,4,0,0,640,16,11800,31.483728814,170.523293216,0,280003140,280003546
width,6,pair128,4,0,0,640,16,12360,31.392556634,171.018537373,0,280003843,280004250
width,7,pair64,4,0,0,640,16,10690,36.979607109,145.180263925,0,280004562,280004984
schedule,0,pair128,4,0,0,640,16,11770,31.851656754,168.553528044,0,280005281,280005671
schedule,1,pair128_adjacent,4,0,0,640,16,11380,32.011599297,167.711368313,0,280005968,280006359
schedule,2,pair128_adjacent,4,0,0,640,16,11310,32.021839080,167.657738411,0,280006656,280007046
schedule,3,pair128,4,0,0,640,16,11650,32.023519313,167.648941626,0,280007343,280007734
schedule,4,pair128,4,0,0,640,16,11930,31.837300922,168.629530912,0,280008046,280008437
schedule,5,pair128_adjacent,4,0,0,640,16,11870,31.912805392,168.230559930,0,280008750,280009140
schedule,6,pair128_adjacent,4,0,0,640,16,12020,32.057237937,167.472604177,0,280009453,280009859
schedule,7,pair128,4,0,0,640,16,11930,31.624727578,169.763015566,0,280010156,280010562
original_wide,0,model4,4,1023,1023,640,16,10420,35.348944338,151.877495087,0,280010859,280011250
original_wide,1,pair128,4,0,0,640,16,12100,31.592148760,169.938080525,0,280011546,280011953
original_wide,2,pair128,4,0,0,640,16,11220,31.435115865,170.786999582,0,280012250,280012625
original_wide,3,model4,4,1023,1023,640,16,10920,35.183608059,152.591204150,0,280012937,280013343
original_wide,4,model4,4,1023,1023,640,16,10690,35.102432180,152.944077850,0,280013640,280014046
original_wide,5,pair128,4,0,0,640,16,11690,31.422497861,170.855580727,0,280014343,280014734
original_wide,6,pair128,4,0,0,640,16,11710,31.308112724,171.479806761,0,280015031,280015421
original_wide,7,model4,4,1023,1023,640,16,11090,34.991884581,153.427264188,0,280015718,280016125
