test,slot,chunk,launches,mean_us,start_ms,end_ms
load_ceiling,0,0,1167,33.750642674,280305500,280305546
load_ceiling,0,1,1167,33.944301628,280305546,280305578
load_ceiling,0,2,1167,33.454155955,280305578,280305625
load_ceiling,0,3,1167,33.511568123,280305625,280305671
load_ceiling,0,4,1167,33.783204799,280305671,280305703
load_ceiling,0,5,1167,33.654670094,280305703,280305750
load_ceiling,0,6,1167,33.921165381,280305750,280305796
load_ceiling,0,7,1167,33.936589546,280305796,280305828
load_ceiling,0,8,1167,33.958868895,280305828,280305875
load_ceiling,0,9,1167,33.921165381,280305875,280305921
load_ceiling,1,0,981,39.386340469,280306218,280306265
load_ceiling,1,1,981,38.793068298,280306265,280306296
load_ceiling,1,2,981,38.812436290,280306296,280306343
load_ceiling,1,3,981,38.348623853,280306343,280306375
load_ceiling,1,4,981,38.409785933,280306390,280306421
load_ceiling,1,5,981,38.634046891,280306421,280306468
load_ceiling,1,6,981,38.909276249,280306468,280306500
load_ceiling,1,7,981,38.739041794,280306500,280306546
load_ceiling,1,8,981,38.627930683,280306546,280306578
load_ceiling,1,9,981,38.861365953,280306578,280306625
load_ceiling,2,0,988,38.703441296,280306921,280306968
load_ceiling,2,1,988,38.762145749,280306968,280307000
load_ceiling,2,2,988,38.563765182,280307015,280307046
load_ceiling,2,3,988,38.768218623,280307046,280307093
load_ceiling,2,4,988,38.832995951,280307093,280307125
load_ceiling,2,5,988,38.454453441,280307125,280307171
load_ceiling,2,6,988,38.648785425,280307171,280307203
load_ceiling,2,7,988,37.806680162,280307203,280307250
load_ceiling,2,8,988,38.713562753,280307250,280307281
load_ceiling,2,9,988,38.783400810,280307296,280307328
load_ceiling,3,0,1150,31.889565217,280307625,280307671
load_ceiling,3,1,1150,31.808695652,280307671,280307703
load_ceiling,3,2,1150,31.581739130,280307703,280307750
load_ceiling,3,3,1150,31.476521739,280307750,280307781
load_ceiling,3,4,1150,31.774782609,280307781,280307812
load_ceiling,3,5,1150,31.312173913,280307828,280307859
load_ceiling,3,6,1150,31.625217391,280307859,280307890
load_ceiling,3,7,1150,32.062608696,280307906,280307937
load_ceiling,3,8,1150,31.821739130,280307937,280307968
load_ceiling,3,9,1150,32.187826087,280307984,280308015
load_ceiling,4,0,1171,31.545687447,280308312,280308359
load_ceiling,4,1,1171,31.625106746,280308359,280308390
load_ceiling,4,2,1171,31.793339026,280308390,280308437
load_ceiling,4,3,1171,31.143467122,280308437,280308468
load_ceiling,4,4,1171,31.099060632,280308468,280308515
load_ceiling,4,5,1171,31.554227156,280308515,280308546
load_ceiling,4,6,1171,31.775405636,280308546,280308593
load_ceiling,4,7,1171,31.607173356,280308593,280308625
load_ceiling,4,8,1171,31.293766012,280308625,280308671
load_ceiling,4,9,1171,31.430401366,280308671,280308703
load_ceiling,5,0,1000,38.490000000,280309015,280309046
load_ceiling,5,1,1000,39.104000000,280309046,280309093
load_ceiling,5,2,1000,38.394000000,280309093,280309125
load_ceiling,5,3,1000,38.665000000,280309140,280309171
load_ceiling,5,4,1000,38.127000000,280309171,280309218
load_ceiling,5,5,1000,38.845000000,280309218,280309250
load_ceiling,5,6,1000,38.561000000,280309250,280309296
load_ceiling,5,7,1000,38.784000000,280309296,280309343
load_ceiling,5,8,1000,38.396000000,280309343,280309375
load_ceiling,5,9,1000,37.761000000,280309375,280309421
load_ceiling,6,0,972,38.598765432,280309718,280309765
load_ceiling,6,1,972,38.752057613,280309765,280309796
load_ceiling,6,2,972,38.228395062,280309796,280309843
load_ceiling,6,3,972,38.888888889,280309843,280309875
load_ceiling,6,4,972,38.778806584,280309875,280309921
load_ceiling,6,5,972,38.414609053,280309921,280309953
load_ceiling,6,6,972,38.760288066,280309953,280310000
load_ceiling,6,7,972,38.672839506,280310000,280310031
load_ceiling,6,8,972,38.311728395,280310031,280310078
load_ceiling,6,9,972,38.557613169,280310078,280310109
load_ceiling,7,0,1184,31.483952703,280310421,280310453
load_ceiling,7,1,1184,31.283783784,280310453,280310500
load_ceiling,7,2,1184,31.625000000,280310500,280310531
load_ceiling,7,3,1184,31.475506757,280310531,280310578
load_ceiling,7,4,1184,31.985641892,280310578,280310609
load_ceiling,7,5,1184,31.456081081,280310609,280310656
load_ceiling,7,6,1184,31.387668919,280310656,280310687
load_ceiling,7,7,1184,31.727195946,280310703,280310734
load_ceiling,7,8,1184,31.574324324,280310734,280310765
load_ceiling,7,9,1184,31.482263514,280310781,280310812
