test,slot,chunk,launches,mean_us,start_ms,end_ms
wmma_grid,0,0,1383,26.737527115,280660687,280660718
wmma_grid,0,1,1383,26.989877079,280660718,280660765
wmma_grid,0,2,1383,26.734634852,280660765,280660796
wmma_grid,0,3,1383,26.846710051,280660796,280660843
wmma_grid,0,4,1383,26.890093999,280660843,280660875
wmma_grid,0,5,1383,26.658712943,280660875,280660921
wmma_grid,0,6,1383,26.772234273,280660921,280660953
wmma_grid,0,7,1383,26.929862617,280660953,280661000
wmma_grid,0,8,1383,26.816341287,280661000,280661031
wmma_grid,0,9,1383,26.613882863,280661031,280661078
wmma_grid,1,0,1202,34.160565724,280661390,280661421
wmma_grid,1,1,1202,33.945923461,280661421,280661468
wmma_grid,1,2,1202,34.003327787,280661468,280661515
wmma_grid,1,3,1202,34.148086522,280661515,280661562
wmma_grid,1,4,1202,34.294509151,280661562,280661593
wmma_grid,1,5,1202,34.141430948,280661593,280661640
wmma_grid,1,6,1202,33.807820300,280661640,280661687
wmma_grid,1,7,1202,33.907653910,280661687,280661734
wmma_grid,1,8,1202,34.021630616,280661734,280661765
wmma_grid,1,9,1202,33.812811980,280661765,280661812
wmma_grid,2,0,1129,33.905225864,280662125,280662156
wmma_grid,2,1,1129,33.716563330,280662156,280662203
wmma_grid,2,2,1129,33.694419841,280662203,280662234
wmma_grid,2,3,1129,33.875996457,280662234,280662281
wmma_grid,2,4,1129,33.401240035,280662281,280662312
wmma_grid,2,5,1129,33.780336581,280662312,280662359
wmma_grid,2,6,1129,33.138175376,280662359,280662390
wmma_grid,2,7,1129,33.325952170,280662406,280662437
wmma_grid,2,8,1129,32.564216120,280662437,280662468
wmma_grid,2,9,1129,31.384410983,280662484,280662515
wmma_grid,3,0,1430,26.349650350,280662812,280662859
wmma_grid,3,1,1430,26.246153846,280662859,280662890
wmma_grid,3,2,1430,26.295104895,280662890,280662937
wmma_grid,3,3,1430,26.467832168,280662937,280662968
wmma_grid,3,4,1430,26.399300699,280662968,280663015
wmma_grid,3,5,1430,26.534265734,280663015,280663046
wmma_grid,3,6,1430,26.379720280,280663046,280663093
wmma_grid,3,7,1430,26.302797203,280663093,280663125
wmma_grid,3,8,1430,26.524475524,280663140,280663171
wmma_grid,3,9,1430,26.546853147,280663171,280663218
wmma_grid,4,0,1389,26.343412527,280663515,280663546
wmma_grid,4,1,1389,26.333333333,280663546,280663593
wmma_grid,4,2,1389,26.310295176,280663593,280663625
wmma_grid,4,3,1389,26.434845212,280663625,280663671
wmma_grid,4,4,1389,26.437724982,280663671,280663703
wmma_grid,4,5,1389,25.442764579,280663703,280663734
wmma_grid,4,6,1389,26.418286537,280663750,280663781
wmma_grid,4,7,1389,26.373650108,280663781,280663812
wmma_grid,4,8,1389,26.464362851,280663828,280663859
wmma_grid,4,9,1389,26.418286537,280663859,280663890
wmma_grid,5,0,1163,31.492691316,280664203,280664234
wmma_grid,5,1,1163,31.533104041,280664234,280664281
wmma_grid,5,2,1163,31.456577816,280664281,280664312
wmma_grid,5,3,1163,31.644024076,280664312,280664359
wmma_grid,5,4,1163,31.932932072,280664359,280664390
wmma_grid,5,5,1163,31.710232158,280664390,280664437
wmma_grid,5,6,1163,31.544282029,280664437,280664468
wmma_grid,5,7,1163,31.599312124,280664468,280664515
wmma_grid,5,8,1163,32.379191745,280664515,280664546
wmma_grid,5,9,1163,31.318142734,280664546,280664593
wmma_grid,6,0,1173,31.739130435,280664890,280664921
wmma_grid,6,1,1173,31.408354646,280664921,280664968
wmma_grid,6,2,1173,31.736572890,280664968,280665000
wmma_grid,6,3,1173,32.109974425,280665000,280665046
wmma_grid,6,4,1173,31.542199488,280665046,280665078
wmma_grid,6,5,1173,31.779198636,280665078,280665125
wmma_grid,6,6,1173,31.351236147,280665125,280665156
wmma_grid,6,7,1173,31.675191816,280665156,280665203
wmma_grid,6,8,1173,31.739982950,280665203,280665234
wmma_grid,6,9,1173,31.630008525,280665250,280665281
wmma_grid,7,0,1450,26.377931034,280665578,280665625
wmma_grid,7,1,1450,26.440689655,280665625,280665656
wmma_grid,7,2,1450,25.473793103,280665671,280665703
wmma_grid,7,3,1450,26.391034483,280665703,280665734
wmma_grid,7,4,1450,26.474482759,280665750,280665781
wmma_grid,7,5,1450,26.473793103,280665781,280665828
wmma_grid,7,6,1450,26.476551724,280665828,280665859
wmma_grid,7,7,1450,26.402758621,280665859,280665906
wmma_grid,7,8,1450,26.269655172,280665906,280665937
wmma_grid,7,9,1450,26.378620690,280665953,280665984
load_grid,0,0,3351,10.624291256,280666281,280666312
load_grid,0,1,3351,10.694419576,280666312,280666359
load_grid,0,2,3351,10.570575947,280666359,280666390
load_grid,0,3,3351,10.571769621,280666390,280666421
load_grid,0,4,3351,10.591763653,280666421,280666468
load_grid,0,5,3351,10.580423754,280666468,280666500
load_grid,0,6,3351,10.591166816,280666500,280666546
load_grid,0,7,3351,10.560131304,280666546,280666578
load_grid,0,8,3351,10.558042375,280666578,280666609
load_grid,0,9,3351,10.594151000,280666609,280666656
load_grid,1,0,1050,36.311428571,280666953,280667000
load_grid,1,1,1050,36.575238095,280667000,280667031
load_grid,1,2,1050,36.640952381,280667046,280667078
load_grid,1,3,1050,36.570476190,280667078,280667125
load_grid,1,4,1050,36.409523810,280667125,280667156
load_grid,1,5,1050,36.050476190,280667156,280667203
load_grid,1,6,1050,36.218095238,280667203,280667234
load_grid,1,7,1050,36.712380952,280667234,280667281
load_grid,1,8,1050,36.479047619,280667281,280667328
load_grid,1,9,1050,36.515238095,280667328,280667359
load_grid,2,0,1047,36.338108883,280667671,280667703
load_grid,2,1,1047,36.241642789,280667703,280667750
load_grid,2,2,1047,36.005730659,280667750,280667781
load_grid,2,3,1047,36.245463228,280667781,280667828
load_grid,2,4,1047,36.364851958,280667828,280667859
load_grid,2,5,1047,36.530085960,280667859,280667906
load_grid,2,6,1047,36.318051576,280667906,280667937
load_grid,2,7,1047,36.413562560,280667953,280667984
load_grid,2,8,1047,36.106017192,280667984,280668031
load_grid,2,9,1047,36.449856734,280668031,280668062
load_grid,3,0,3376,10.582938389,280668359,280668390
load_grid,3,1,3376,10.627665877,280668390,280668437
load_grid,3,2,3376,10.631516588,280668437,280668468
load_grid,3,3,3376,10.621149289,280668468,280668515
load_grid,3,4,3376,10.569609005,280668515,280668546
load_grid,3,5,3376,10.578199052,280668546,280668578
load_grid,3,6,3376,10.614040284,280668593,280668625
load_grid,3,7,3376,10.580864929,280668625,280668656
load_grid,3,8,3376,10.582049763,280668656,280668703
load_grid,3,9,3376,10.602784360,280668703,280668734
load_grid,4,0,3328,10.578725962,280669031,280669062
load_grid,4,1,3328,10.608774038,280669062,280669109
load_grid,4,2,3328,10.560096154,280669109,280669140
load_grid,4,3,3328,10.585336538,280669140,280669171
load_grid,4,4,3328,10.592848558,280669187,280669218
load_grid,4,5,3328,10.604867788,280669218,280669250
load_grid,4,6,3328,10.576021635,280669250,280669296
load_grid,4,7,3328,10.587740385,280669296,280669328
load_grid,4,8,3328,10.582632212,280669328,280669359
load_grid,4,9,3328,10.536358173,280669359,280669406
load_grid,5,0,1055,36.574407583,280669703,280669750
load_grid,5,1,1055,36.275829384,280669750,280669781
load_grid,5,2,1055,36.503317536,280669796,280669828
load_grid,5,3,1055,36.333649289,280669828,280669875
load_grid,5,4,1055,36.318483412,280669875,280669906
load_grid,5,5,1055,35.988625592,280669906,280669953
load_grid,5,6,1055,35.794312796,280669953,280669984
load_grid,5,7,1055,36.651184834,280669984,280670031
load_grid,5,8,1055,36.675829384,280670031,280670078
load_grid,5,9,1055,36.536492891,280670078,280670109
load_grid,6,0,1073,36.367194781,280670421,280670453
load_grid,6,1,1073,36.556383970,280670453,280670500
load_grid,6,2,1073,36.494874185,280670500,280670546
load_grid,6,3,1073,36.333643989,280670546,280670578
load_grid,6,4,1073,36.335507922,280670578,280670625
load_grid,6,5,1073,36.104380242,280670625,280670671
load_grid,6,6,1073,36.481826654,280670671,280670703
load_grid,6,7,1073,36.463187325,280670703,280670750
load_grid,6,8,1073,36.619757689,280670750,280670781
load_grid,6,9,1073,36.389561976,280670796,280670828
load_grid,7,0,3279,10.574870387,280671125,280671156
load_grid,7,1,3279,10.624275694,280671156,280671187
load_grid,7,2,3279,10.603537664,280671203,280671234
load_grid,7,3,3279,10.594693504,280671234,280671265
load_grid,7,4,3279,10.631290027,280671265,280671296
load_grid,7,5,3279,10.629460201,280671312,280671343
load_grid,7,6,3279,10.583714547,280671343,280671375
load_grid,7,7,3279,10.548642879,280671375,280671421
load_grid,7,8,3279,10.619091186,280671421,280671453
load_grid,7,9,3279,10.605062519,280671453,280671484
original_grid,0,0,1187,32.665543387,280671796,280671828
original_grid,0,1,1187,33.572030329,280671828,280671875
original_grid,0,2,1187,32.736310025,280671875,280671921
original_grid,0,3,1187,32.875315922,280671921,280671953
original_grid,0,4,1187,33.280539174,280671953,280672000
original_grid,0,5,1187,33.309182814,280672000,280672046
original_grid,0,6,1187,32.829823083,280672046,280672078
original_grid,0,7,1187,33.043807919,280672078,280672125
original_grid,0,8,1187,30.183656276,280672125,280672156
original_grid,0,9,1187,33.043807919,280672156,280672203
original_grid,1,0,1085,33.933640553,280672500,280672546
original_grid,1,1,1085,33.575115207,280672546,280672578
original_grid,1,2,1085,33.583410138,280672578,280672625
original_grid,1,3,1085,34.304147465,280672625,280672656
original_grid,1,4,1085,34.301382488,280672656,280672703
original_grid,1,5,1085,34.408294931,280672703,280672734
original_grid,1,6,1085,34.463594470,280672734,280672781
original_grid,1,7,1085,34.292165899,280672781,280672812
original_grid,1,8,1085,34.306912442,280672812,280672859
original_grid,1,9,1085,34.411981567,280672859,280672890
original_grid,2,0,1093,35.018298262,280673203,280673234
original_grid,2,1,1093,34.856358646,280673234,280673281
original_grid,2,2,1093,34.821591949,280673281,280673312
original_grid,2,3,1093,34.875571821,280673328,280673359
original_grid,2,4,1093,34.655077768,280673359,280673406
original_grid,2,5,1093,34.741994511,280673406,280673437
original_grid,2,6,1093,34.376029277,280673437,280673484
original_grid,2,7,1093,34.541628545,280673484,280673515
original_grid,2,8,1093,34.788655078,280673515,280673562
original_grid,2,9,1093,34.717291857,280673562,280673593
original_grid,3,0,1156,32.733564014,280673906,280673937
original_grid,3,1,1156,33.105536332,280673937,280673984
original_grid,3,2,1156,32.742214533,280673984,280674015
original_grid,3,3,1156,33.107266436,280674015,280674062
original_grid,3,4,1156,32.599480969,280674062,280674093
original_grid,3,5,1156,32.986159170,280674109,280674140
original_grid,3,6,1156,33.353806228,280674140,280674187
original_grid,3,7,1156,32.757785467,280674187,280674218
original_grid,3,8,1156,33.020761246,280674218,280674265
original_grid,3,9,1156,32.826124567,280674265,280674296
original_grid,4,0,1162,32.354561102,280674609,280674640
original_grid,4,1,1162,32.842512909,280674640,280674687
original_grid,4,2,1162,32.909638554,280674687,280674718
original_grid,4,3,1162,32.731497418,280674734,280674765
original_grid,4,4,1162,32.990533563,280674765,280674812
original_grid,4,5,1162,32.841652324,280674812,280674843
original_grid,4,6,1162,32.406196213,280674843,280674890
original_grid,4,7,1162,32.629948365,280674890,280674921
original_grid,4,8,1162,32.936316695,280674921,280674968
original_grid,4,9,1162,33.028399312,280674968,280675000
original_grid,5,0,1055,35.446445498,280675312,280675343
original_grid,5,1,1055,34.891943128,280675343,280675390
original_grid,5,2,1055,35.076777251,280675390,280675421
original_grid,5,3,1055,34.984834123,280675421,280675468
original_grid,5,4,1055,35.163981043,280675468,280675500
original_grid,5,5,1055,34.909004739,280675500,280675546
original_grid,5,6,1055,35.089099526,280675546,280675578
original_grid,5,7,1055,35.036966825,280675578,280675625
original_grid,5,8,1055,35.113744076,280675625,280675656
original_grid,5,9,1055,34.816113744,280675656,280675703
original_grid,6,0,1080,35.614814815,280676000,280676046
original_grid,6,1,1080,34.898148148,280676046,280676078
original_grid,6,2,1080,35.059259259,280676078,280676125
original_grid,6,3,1080,34.818518519,280676125,280676156
original_grid,6,4,1080,34.776851852,280676171,280676203
original_grid,6,5,1080,34.845370370,280676203,280676234
original_grid,6,6,1080,34.680555556,280676250,280676281
