test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
wmma_grid,0,pair128,4,0,0,400,16,13830,26.798987708,125.207833840,0,280660687,280661078
wmma_grid,1,pair128,4,0,0,640,16,12020,34.024376040,157.790083019,0,280661390,280661812
wmma_grid,2,pair128,4,0,0,640,16,11290,33.278653676,161.325910967,0,280662109,280662515
wmma_grid,3,pair128,4,0,0,400,16,14300,26.404615385,127.077904795,0,280662812,280663218
wmma_grid,4,pair128,4,0,0,400,16,13890,26.297696184,127.594568607,0,280663515,280663890
wmma_grid,5,pair128,4,0,0,640,16,11630,31.661049011,169.568264087,0,280664203,280664593
wmma_grid,6,pair128,4,0,0,640,16,11730,31.671184996,169.513995789,0,280664890,280665281
wmma_grid,7,pair128,4,0,0,400,16,14500,26.315931034,127.506155705,0,280665578,280665984
load_grid,0,pair128_loadonly_multi,4,0,0,400,16,33510,10.593673530,0.000000000,0,280666281,280666656
load_grid,1,pair128_loadonly_multi,4,0,0,640,16,10500,36.448285714,0.000000000,0,280666953,280667359
load_grid,2,pair128_loadonly_multi,4,0,0,640,16,10470,36.301337154,0.000000000,0,280667656,280668062
load_grid,3,pair128_loadonly_multi,4,0,0,400,16,33760,10.599081754,0.000000000,0,280668359,280668734
load_grid,4,pair128_loadonly_multi,4,0,0,400,16,33280,10.581340144,0.000000000,0,280669031,280669406
load_grid,5,pair128_loadonly_multi,4,0,0,640,16,10550,36.365213270,0.000000000,0,280669703,280670109
load_grid,6,pair128_loadonly_multi,4,0,0,640,16,10730,36.414631873,0.000000000,0,280670421,280670828
load_grid,7,pair128_loadonly_multi,4,0,0,400,16,32790,10.601463861,0.000000000,0,280671125,280671484
original_grid,0,model4,4,1023,1023,400,16,11870,32.754001685,102.443763430,0,280671796,280672203
original_grid,1,model4,4,1023,1023,640,16,10850,34.158064516,157.172521220,0,280672500,280672890
original_grid,2,model4,4,1023,1023,640,16,10930,34.739249771,154.543035769,0,280673203,280673593
original_grid,3,model4,4,1023,1023,400,16,11560,32.923269896,101.917069920,0,280673906,280674296
original_grid,4,model4,4,1023,1023,400,16,11620,32.767125645,102.402732431,0,280674609,280675000
original_grid,5,model4,4,1023,1023,640,16,10550,35.052890995,153.160237788,0,280675312,280675703
original_grid,6,model4,4,1023,1023,640,16,10800,34.870092593,153.963144943,0,280676000,280676406
original_grid,7,model4,4,1023,1023,400,16,11940,32.821691792,102.232487625,0,280676703,280677125
single_grid,0,pair128_loadonly,4,0,0,400,16,35340,9.698528580,0.000000000,0,280677406,280677765
single_grid,1,pair128_loadonly,4,0,0,640,16,9860,38.544726166,0.000000000,0,280678078,280678468
single_grid,2,pair128_loadonly,4,0,0,640,16,10560,38.553219697,0.000000000,0,280678781,280679218
single_grid,3,pair128_loadonly,4,0,0,400,16,35370,9.704071247,0.000000000,0,280679500,280679875
single_grid,4,pair128_loadonly,4,0,0,400,16,35690,9.726365929,0.000000000,0,280680156,280680531
single_grid,5,pair128_loadonly,4,0,0,640,16,10160,38.602952756,0.000000000,0,280680828,280681250
single_grid,6,pair128_loadonly,4,0,0,640,16,10010,38.624475524,0.000000000,0,280681546,280681953
single_grid,7,pair128_loadonly,4,0,0,400,16,36070,9.725422789,0.000000000,0,280682250,280682625
