test,slot,chunk,launches,mean_us,start_ms,end_ms
row_control,0,0,1002,37.020958084,280888953,280888984
row_control,0,1,1002,37.440119760,280889000,280889031
row_control,0,2,1002,37.386227545,280889031,280889078
row_control,0,3,1002,37.367265469,280889078,280889109
row_control,0,4,1002,37.549900200,280889109,280889156
row_control,0,5,1002,37.438123752,280889156,280889187
row_control,0,6,1002,36.901197605,280889187,280889234
row_control,0,7,1002,37.496007984,280889234,280889265
row_control,0,8,1002,37.644710579,280889265,280889312
row_control,0,9,1002,37.475049900,280889312,280889343
row_control,1,0,993,37.601208459,280889656,280889687
row_control,1,1,993,37.115810675,280889687,280889734
row_control,1,2,993,36.927492447,280889734,280889765
row_control,1,3,993,37.212487412,280889765,280889812
row_control,1,4,993,37.267875126,280889812,280889843
row_control,1,5,993,37.055387714,280889843,280889890
row_control,1,6,993,36.784491440,280889890,280889921
row_control,1,7,993,37.340382679,280889921,280889968
row_control,1,8,993,37.212487412,280889968,280890000
row_control,1,9,993,37.188318228,280890000,280890046
row_control,2,0,1003,37.086739781,280890343,280890375
row_control,2,1,1003,36.999002991,280890375,280890421
row_control,2,2,1003,36.997008973,280890421,280890453
row_control,2,3,1003,36.697906281,280890453,280890500
row_control,2,4,1003,35.996011964,280890500,280890531
row_control,2,5,1003,36.239282154,280890531,280890578
row_control,2,6,1003,36.574277168,280890578,280890609
row_control,2,7,1003,37.194416750,280890609,280890656
row_control,2,8,1003,36.763708873,280890656,280890687
row_control,2,9,1003,35.031904287,280890687,280890734
row_control,3,0,1025,36.326829268,280891031,280891062
row_control,3,1,1025,36.348292683,280891078,280891109
row_control,3,2,1025,36.717073171,280891109,280891156
row_control,3,3,1025,35.779512195,280891156,280891187
row_control,3,4,1025,36.456585366,280891187,280891234
row_control,3,5,1025,36.795121951,280891234,280891265
row_control,3,6,1025,36.649756098,280891265,280891312
row_control,3,7,1025,36.523902439,280891312,280891343
row_control,3,8,1025,36.234146341,280891343,280891390
row_control,3,9,1025,36.198048780,280891390,280891421
row_control,4,0,1073,36.401677540,280891734,280891765
row_control,4,1,1073,36.501397950,280891781,280891812
row_control,4,2,1073,36.674743709,280891812,280891859
row_control,4,3,1073,36.481826654,280891859,280891890
row_control,4,4,1073,36.553588071,280891890,280891937
row_control,4,5,1073,36.761416589,280891937,280891984
row_control,4,6,1073,36.438024231,280891984,280892015
row_control,4,7,1073,35.919850885,280892015,280892062
row_control,4,8,1073,36.452003728,280892062,280892109
row_control,4,9,1073,36.318732526,280892109,280892140
row_control,5,0,1070,35.846728972,280892453,280892484
row_control,5,1,1070,36.871028037,280892500,280892531
row_control,5,2,1070,37.085046729,280892531,280892578
row_control,5,3,1070,36.596261682,280892578,280892609
row_control,5,4,1070,36.928037383,280892609,280892656
row_control,5,5,1070,36.566355140,280892656,280892703
row_control,5,6,1070,36.634579439,280892703,280892734
row_control,5,7,1070,36.878504673,280892734,280892781
row_control,5,8,1070,36.595327103,280892781,280892828
row_control,5,9,1070,36.647663551,280892828,280892859
row_control,6,0,1026,37.076998051,280893171,280893203
row_control,6,1,1026,36.121832359,280893203,280893250
row_control,6,2,1026,36.956140351,280893250,280893281
row_control,6,3,1026,36.943469786,280893281,280893328
row_control,6,4,1026,36.604288499,280893328,280893359
row_control,6,5,1026,36.136452242,280893359,280893406
row_control,6,6,1026,36.806042885,280893406,280893437
row_control,6,7,1026,36.450292398,280893453,280893484
row_control,6,8,1026,36.719298246,280893484,280893515
row_control,6,9,1026,36.157894737,280893531,280893562
row_control,7,0,1094,36.233089580,280893875,280893906
row_control,7,1,1094,36.804387569,280893906,280893953
row_control,7,2,1094,35.793418647,280893953,280894000
row_control,7,3,1094,36.324497258,280894000,280894031
row_control,7,4,1094,36.276965265,280894046,280894078
row_control,7,5,1094,36.900365631,280894078,280894125
row_control,7,6,1094,36.600548446,280894125,280894156
row_control,7,7,1094,36.696526508,280894171,280894203
row_control,7,8,1094,36.278793419,280894203,280894250
row_control,7,9,1094,36.460694698,280894250,280894296
row_fold,0,0,1008,37.199404762,280894593,280894625
row_fold,0,1,1008,36.048611111,280894640,280894671
row_fold,0,2,1008,36.763888889,280894671,280894703
row_fold,0,3,1008,37.065476190,280894718,280894750
row_fold,0,4,1008,36.790674603,280894750,280894781
row_fold,0,5,1008,36.727182540,280894796,280894828
row_fold,0,6,1008,36.378968254,280894828,280894859
row_fold,0,7,1008,36.510912698,280894875,280894906
row_fold,0,8,1008,36.944444444,280894906,280894937
row_fold,0,9,1008,36.701388889,280894953,280894984
row_fold,1,0,1058,36.550094518,280895296,280895328
row_fold,1,1,1058,36.510396975,280895328,280895375
row_fold,1,2,1058,36.622873346,280895375,280895406
row_fold,1,3,1058,36.265595463,280895406,280895453
row_fold,1,4,1058,36.366729679,280895453,280895484
row_fold,1,5,1058,36.618147448,280895500,280895531
row_fold,1,6,1058,36.362003781,280895531,280895578
row_fold,1,7,1058,36.586956522,280895578,280895609
row_fold,1,8,1058,36.601134216,280895609,280895656
row_fold,1,9,1058,36.443289225,280895656,280895703
row_fold,2,0,1022,37.150684932,280896000,280896031
row_fold,2,1,1022,36.505870841,280896046,280896078
row_fold,2,2,1022,36.324853229,280896078,280896109
row_fold,2,3,1022,36.694716243,280896125,280896156
row_fold,2,4,1022,36.557729941,280896156,280896187
row_fold,2,5,1022,36.595890411,280896203,280896234
row_fold,2,6,1022,36.662426614,280896234,280896281
row_fold,2,7,1022,37.049902153,280896281,280896312
row_fold,2,8,1022,36.341487280,280896312,280896359
row_fold,2,9,1022,36.441291585,280896359,280896390
row_fold,3,0,1100,37.006363636,280896703,280896750
row_fold,3,1,1100,36.488181818,280896750,280896781
