test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
row_control,0,pair128_loadonly_multi,4,0,0,640,16,10020,37.371956088,0.000000000,0,280888953,280889343
row_control,1,pair128_loadonly_rows,4,1023,0,640,16,9930,37.170594159,0.000000000,0,280889656,280890046
row_control,2,pair128_loadonly_rows,4,1023,0,640,16,10030,36.558025922,0.000000000,0,280890343,280890734
row_control,3,pair128_loadonly_multi,4,0,0,640,16,10250,36.402926829,0.000000000,0,280891031,280891421
row_control,4,pair128_loadonly_multi,4,0,0,640,16,10730,36.450326188,0.000000000,0,280891734,280892140
row_control,5,pair128_loadonly_rows,4,1023,0,640,16,10700,36.664953271,0.000000000,0,280892453,280892859
row_control,6,pair128_loadonly_rows,4,1023,0,640,16,10260,36.597270955,0.000000000,0,280893171,280893562
row_control,7,pair128_loadonly_multi,4,0,0,640,16,10940,36.436928702,0.000000000,0,280893875,280894296
row_fold,0,pair128_loadonly_rows,4,1023,0,640,16,10080,36.713095238,0.000000000,0,280894593,280894984
row_fold,1,pair128_loadonly_rows,4,255,0,640,16,10580,36.492722117,0.000000000,0,280895281,280895703
row_fold,2,pair128_loadonly_rows,4,255,0,640,16,10220,36.632485323,0.000000000,0,280896000,280896390
row_fold,3,pair128_loadonly_rows,4,1023,0,640,16,11000,36.643818182,0.000000000,0,280896703,280897125
row_fold,4,pair128_loadonly_rows,4,1023,0,640,16,10250,36.683609756,0.000000000,0,280897421,280897828
row_fold,5,pair128_loadonly_rows,4,255,0,640,16,10240,36.497558594,0.000000000,0,280898125,280898531
row_fold,6,pair128_loadonly_rows,4,255,0,640,16,11080,36.384747292,0.000000000,0,280898828,280899250
row_fold,7,pair128_loadonly_rows,4,1023,0,640,16,10370,36.664995178,0.000000000,0,280899562,280899968
same_workset,0,pair128_loadonly_rows,4,255,0,400,16,29950,12.321936561,0.000000000,0,280900265,280900656
same_workset,1,pair128_loadonly_rows,4,255,0,640,16,10790,36.340407785,0.000000000,0,280900953,280901375
same_workset,2,pair128_loadonly_rows,4,255,0,640,16,10790,36.378127896,0.000000000,0,280901671,280902093
same_workset,3,pair128_loadonly_rows,4,255,0,400,16,28290,12.139837398,0.000000000,0,280902375,280902750
same_workset,4,pair128_loadonly_rows,4,255,0,400,16,30800,12.098214286,0.000000000,0,280903046,280903437
same_workset,5,pair128_loadonly_rows,4,255,0,640,16,11130,36.394609164,0.000000000,0,280903750,280904171
same_workset,6,pair128_loadonly_rows,4,255,0,640,16,10630,36.341580433,0.000000000,0,280904468,280904875
same_workset,7,pair128_loadonly_rows,4,255,0,400,16,29200,12.296541096,0.000000000,0,280905171,280905562
boundary_low,0,pair128_loadonly_rows,4,255,0,496,16,14050,26.471957295,0.000000000,0,280905859,280906250
boundary_low,1,pair128_loadonly_rows,4,255,0,512,16,19730,17.880081095,0.000000000,0,280906546,280906921
boundary_low,2,pair128_loadonly_rows,4,255,0,512,16,18490,17.870686858,0.000000000,0,280907203,280907562
boundary_low,3,pair128_loadonly_rows,4,255,0,496,16,14530,26.503716449,0.000000000,0,280907859,280908265
boundary_low,4,pair128_loadonly_rows,4,255,0,496,16,14910,26.382159624,0.000000000,0,280908578,280908984
boundary_low,5,pair128_loadonly_rows,4,255,0,512,16,19350,17.868527132,0.000000000,0,280909281,280909640
boundary_low,6,pair128_loadonly_rows,4,255,0,512,16,20800,17.856586538,0.000000000,0,280909937,280910343
boundary_low,7,pair128_loadonly_rows,4,255,0,496,16,14410,26.509784872,0.000000000,0,280910640,280911046
boundary_high,0,pair128_loadonly_rows,4,255,0,512,16,20530,17.848952752,0.000000000,0,280911343,280911734
boundary_high,1,pair128_loadonly_rows,4,255,0,528,16,15780,22.633650190,0.000000000,0,280912015,280912406
boundary_high,2,pair128_loadonly_rows,4,255,0,528,16,16500,22.521090909,0.000000000,0,280912703,280913093
boundary_high,3,pair128_loadonly_rows,4,255,0,512,16,20680,17.813636364,0.000000000,0,280913390,280913781
boundary_high,4,pair128_loadonly_rows,4,255,0,512,16,20780,17.817901829,0.000000000,0,280914078,280914468
boundary_high,5,pair128_loadonly_rows,4,255,0,528,16,16810,22.513503867,0.000000000,0,280914765,280915171
boundary_high,6,pair128_loadonly_rows,4,255,0,528,16,16710,22.602333932,0.000000000,0,280915468,280915875
boundary_high,7,pair128_loadonly_rows,4,255,0,512,16,20530,17.814369216,0.000000000,0,280916171,280916546
